VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Afghanistan,2016,54.757019438,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Afghanistan,2017,54.757019438,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Afghanistan,2018,54.757019438,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Afghanistan,2019,54.757019438,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Afghanistan,2020,54.757019438,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Afghanistan,2021,54.757019438,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Afghanistan,2022,54.757019438,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Albania,2016,6.5625,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Albania,2017,6.556490385,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Albania,2018,5.757211539,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Albania,2019,6.796875,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Albania,2020,4.723557692,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Albania,2021,4.783653846,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Albania,2022,4.789663461,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Algeria,2016,129.871957225,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Algeria,2017,137.920360208,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Algeria,2018,141.799165142,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Algeria,2019,145.677970077,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Algeria,2020,149.556775011,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Algeria,2021,140.59378078,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Algeria,2022,144.814971155,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Angola,2016,1.871883289,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Angola,2017,1.871883289,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Angola,2018,1.871883289,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Angola,2019,1.871883289,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Angola,2020,1.871883289,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Angola,2021,1.871883289,%,E,false
Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Angola,2022,1.871883289,%,E,false
