Country,Average Oxidized Nitrogen (mg/L),Notes
Argentina,0.6524933773804897,Relatively clean water
Austria,1.602817483087623,Relatively clean water
Belgium,1.8464655558425123,Relatively clean water
Bulgaria,0.4726469259717391,Relatively clean water
Canada,0.189648451595785,Relatively clean water
Croatia,0.26924738584573094,Relatively clean water
Denmark,3.1253987174299342,Moderate to high pollution risk
Estonia,0.48282780434869427,Relatively clean water
Finland,0.2228853199907464,Relatively clean water
France,2.4235867324669047,Relatively clean water
Greece,10.969982290416159,"High pollution, unsafe for drinking"
Iceland,0.006187607211205128,Relatively clean water
India,1.044207004130401,Relatively clean water
Ireland,0.43703482001202704,Relatively clean water
Italy,4.558250672026699,Moderate to high pollution risk
Latvia,0.41527816003909396,Relatively clean water
Lithuania,1.2666872248441392,Relatively clean water
Macedonia (the former Yugoslav Republic of),0.9816232806281828,Relatively clean water
Malta,2.231566838275862,Relatively clean water
Mexico,0.6334914531498973,Relatively clean water
Netherlands (the),0.48980106760272935,Relatively clean water
Norway,0.11809597242599676,Relatively clean water
Poland,1.3074398160738119,Relatively clean water
Portugal,0.5813185290128243,Relatively clean water
Serbia,1.0275716158218164,Relatively clean water
Slovenia,1.132329146513688,Relatively clean water
Sweden,0.7500396277157919,Relatively clean water
Switzerland,1.16437437597288,Relatively clean water
United States of America (the),0.9947961984416198,Relatively clean water
Uruguay,0.4867438503416602,Relatively clean water
