"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"ARG00014";"2011-09-06";"11:30";0.3;"Hg-Dis";"0";"<";0.04;"µg/l";"Fair"
"ARG00014";"2011-09-06";"11:30";0.3;"Hg-Tot";"0";"<";0.04;"µg/l";"Fair"
"ARG00014";"2012-03-14";"12:20";0.3;"Hg-Dis";"0";"";0.044;"µg/l";"Fair"
"ARG00014";"2012-03-14";"12:20";0.3;"Hg-Tot";"0";"";0.348;"µg/l";"Fair"
"ARG00014";"2012-06-06";"13:20";0.3;"Hg-Dis";"0";"<";0.04;"µg/l";"Fair"
"ARG00014";"2012-06-06";"13:20";0.3;"Hg-Tot";"0";"";0.185;"µg/l";"Fair"
"ARG00014";"2012-09-18";"08:50";0.3;"Hg-Dis";"0";"<";0.04;"µg/l";"Fair"
"ARG00014";"2012-09-18";"08:50";0.3;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"ARG00014";"2012-12-12";"10:00";0.3;"Hg-Dis";"0";"<";40;"µg/l";"Fair"
"ARG00014";"2012-12-12";"10:00";0.3;"Hg-Tot";"0";"";0.348;"µg/l";"Fair"
"ARG00014";"2013-03-22";"12:00";0.3;"Hg-Dis";"0";"<";0.04;"µg/l";"Fair"
"ARG00014";"2013-03-22";"12:00";0.3;"Hg-Tot";"0";"";0.465;"µg/l";"Fair"
"ARG00014";"2013-06-05";"12:00";0.3;"Hg-Dis";"0";"";0.152;"µg/l";"Fair"
"ARG00014";"2013-06-05";"12:00";0.3;"Hg-Tot";"0";"";0.13;"µg/l";"Fair"
"ARG00014";"2013-09-24";"10:20";0.3;"Hg-Dis";"0";"<";0.04;"µg/l";"Fair"
"ARG00014";"2013-09-24";"10:20";0.3;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"ARG00014";"2013-12-18";"13:00";0.3;"Hg-Tot";"0";"";0.642;"µg/l";"Fair"
"ARG00014";"2014-04-26";"09:26";0.3;"Hg-Tot";"0";"";0.393;"µg/l";"Fair"
"ARG00014";"2018-06-10";"12:00";0.3;"Hg-Dis";"0";"<";0.04;"µg/l";"Fair"
"ARG00014";"2018-06-10";"12:00";0.3;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"1996-06-12";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1996-08-21";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1996-09-10";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1996-11-13";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1996-12-11";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1997-05-21";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1997-07-15";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1997-08-11";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1997-09-17";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1997-10-15";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1997-11-10";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1997-12-09";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-01-13";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-03-18";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-04-21";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-05-12";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-06-15";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-07-21";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-08-17";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-09-10";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-10-05";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-11-18";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1998-12-14";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-01-27";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-02-22";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-03-22";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-04-14";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-05-18";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-06-14";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-07-05";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-08-10";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-09-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-10-11";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-11-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"1999-11-30";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-01-11";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-02-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-03-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-04-04";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-05-10";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-06-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-07-04";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-08-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-09-12";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-10-09";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-11-21";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2000-12-11";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00007";"2004-01-20";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-02-18";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-03-18";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-04-21";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-06-01";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-06-22";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-07-27";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-08-23";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-09-22";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-10-20";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-11-23";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2004-12-15";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-02-01";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-02-23";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-03-16";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-04-12";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-05-03";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-06-15";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-07-18";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-08-16";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-09-12";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-10-17";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-11-22";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2005-11-29";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00007";"2006-01-24";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-02-20";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-03-21";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-04-18";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-05-30";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-06-13";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-07-05";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-08-21";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-09-19";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-10-17";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-11-21";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00007";"2006-12-20";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00008";"1996-07-09";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1996-08-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1996-09-11";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1996-10-15";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1996-11-04";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1996-12-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1997-01-08";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1997-02-10";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1997-03-10";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1997-04-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1997-05-13";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1997-06-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1997-08-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1997-10-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1997-12-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1998-02-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1998-04-16";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1998-06-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1998-07-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1998-08-04";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1998-09-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1998-10-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1998-11-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1998-12-01";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-01-13";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-02-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-03-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-04-08";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-05-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-06-10";"00:00";0;"Hg-Tot";"0";"";0;"µg/l";"Fair"
"AUT00008";"1999-07-08";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-08-05";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-09-08";"00:00";0;"Hg-Tot";"0";"";0;"µg/l";"Fair"
"AUT00008";"1999-10-14";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-11-04";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"1999-12-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-01-13";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-02-09";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-03-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-04-05";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-05-04";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-06-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-07-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-08-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-09-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-10-05";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-11-23";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2000-12-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00008";"2004-01-13";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2004-02-10";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2004-03-10";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2004-04-06";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2004-05-11";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2004-06-08";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00008";"2004-08-03";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2004-09-07";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2004-10-05";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00008";"2004-11-09";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00008";"2004-11-30";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00008";"2005-01-11";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2005-02-08";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2005-03-08";"00:00";0;"Hg-Tot";"0";"<";0.1;"µg/l";"Fair"
"AUT00008";"2005-04-05";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2005-06-07";"00:00";0;"Hg-Tot";"0";"<";0.02;"µg/l";"Fair"
"AUT00008";"2005-07-05";"00:00";0;"Hg-Tot";"0";"<";0.025;"µg/l";"Fair"
"AUT00008";"2005-08-02";"00:00";0;"Hg-Tot";"0";"<";0.025;"µg/l";"Fair"
"AUT00008";"2005-09-06";"00:00";0;"Hg-Tot";"0";"<";0.025;"µg/l";"Fair"
"AUT00008";"2005-10-04";"00:00";0;"Hg-Tot";"0";"<";0.025;"µg/l";"Fair"
"AUT00008";"2005-11-10";"00:00";0;"Hg-Tot";"0";"<";0.025;"µg/l";"Fair"
"AUT00008";"2005-12-12";"00:00";0;"Hg-Tot";"0";"<";0.025;"µg/l";"Fair"
"AUT00008";"2006-01-10";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-02-07";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-03-07";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-04-04";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-05-09";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-06-06";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-07-03";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-07-31";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-08-28";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-09-25";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-10-23";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00008";"2006-11-27";"00:00";0;"Hg-Tot";"0";"<";0.05;"µg/l";"Fair"
"AUT00009";"1996-07-09";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1996-08-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1996-09-11";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1996-10-15";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1996-11-04";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1996-12-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1997-01-08";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1997-02-10";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1997-03-10";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1997-04-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1997-05-13";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1997-06-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1997-08-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1997-10-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1997-12-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1998-02-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1998-04-16";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1998-06-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1998-07-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1998-08-04";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1998-09-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1998-10-07";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1998-11-03";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1998-12-01";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1999-01-13";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1999-02-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1999-03-02";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1999-04-08";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1999-05-06";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1999-06-10";"00:00";0;"Hg-Tot";"0";"";0;"µg/l";"Fair"
"AUT00009";"1999-07-08";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
"AUT00009";"1999-08-05";"00:00";0;"Hg-Tot";"0";"<";0;"µg/l";"Fair"
