COUNTRY_NAME,INDICATOR_NAME_unit,VALUE,YEAR
Andorra,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),92.86,2017
Andorra,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),86,2020
Antigua and Barbuda,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),0,2020
Argentina,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),17.95,2020
Australia,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),87.65,2020
Austria,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),80.44,2017
Austria,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),81.77,2020
Belarus,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),88.88,2020
Belize,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),78.95,2020
Benin,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),89.42,2020
Bosnia and Herzegovina,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),5.79,2017
Bosnia and Herzegovina,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),30.58,2020
Botswana,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),50,2017
Botswana,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),78,2020
Brazil,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),63.25,2017
Brazil,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),71.02,2020
Bulgaria,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),69.85,2017
Bulgaria,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),65.56,2020
Burkina Faso,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),97.7,2020
Burundi,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),100,2020
Canada,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),82.19,2020
Chile,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),85.64,2017
Chile,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),84.02,2020
Costa Rica,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),68.48,2020
Cote d'Ivoire,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),80,2020
Croatia,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),55.85,2020
Cyprus,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),61.67,2017
Cyprus,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),61.4,2020
Czechia,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),67.01,2017
Czechia,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),88.19,2020
Democratic Republic of the Congo,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),66,2020
Denmark,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),53.42,2020
Dominican Republic,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),70.59,2020
El Salvador,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),43.33,2017
El Salvador,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),59.68,2020
Estonia,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),100,2017
Estonia,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),75.65,2020
Eswatini,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),87.5,2020
Ethiopia,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),96.77,2020
Fiji,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),100,2017
Fiji,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),100,2020
Finland,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),95.98,2017
Finland,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),96.84,2020
France,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),83.53,2017
France,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),78.93,2020
Gabon,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),93.55,2020
Georgia,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),92,2020
Germany,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),38.99,2017
Greece,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),49.25,2017
Greece,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),40.62,2020
Guinea,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),80.89,2017
Guyana,Proportion of bodies of water with good ambient water quality (SDG 6.3.2) (Percentage),67.76,2020
