countryCode,waterBodyIdentifier,waterBodyIdentifierScheme,parameterWaterBodyCategory,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,resultNumberOfSitesClass1,resultNumberOfSitesClass2,resultNumberOfSitesClass3,resultNumberOfSitesClass4,resultNumberOfSitesClass5,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
BG,BG096,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,1991,1991-01-01--1991-12-31,0,1,0,,0,,0.197,,0.921,,,,3,0,0,1,1,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_OUTLIER_LIMIT_MIN: Possible outlier - the lowest reported result value is lower than the minimum limit set for the respective observed property (result value: 0, limitMin: 0.000010000)",2667
FI,FI016,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,2009,2009-01-01--2009-12-31,0,1,0,,0.0016,,0.0016,,0.0016,,,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",12234
BG,BG3G000000Q010,euGroundWaterBodyCode,GW,EEA_3132-01-2,Dissolved oxygen,W,mg/L,2002,2002-01-01--2002-12-31,0,1,0,,6.91,,6.91,,6.91,,6.91,,0,0,1,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",4282
FI,FI034,eionetGroundWaterBodyCode,GW,EEA_3132-01-2,Dissolved oxygen,W,mg/L,1989,1989-01-01--1989-12-31,0,1,0,,9.9,,10.2,,10.6,,,,0,0,1,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",13263
FI,FI016,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,2010,2010-01-01--2010-12-31,0,1,0,,0.0016,,0.0016,,0.0016,,,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",12235
FI,FI038,eionetGroundWaterBodyCode,GW,EEA_3132-01-2,Dissolved oxygen,W,mg/L,1988,1988-01-01--1988-12-31,0,1,0,,12.2,,12.2,,12.2,,,,0,0,1,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",13407
BG,BG096,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,1999,1999-01-01--1999-12-31,0,1,0,,0,,0.155,,1.13,,0.039,,1,1,5,1,3,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_OUTLIER_LIMIT_MIN: Possible outlier - the lowest reported result value is lower than the minimum limit set for the respective observed property (result value: 0, limitMin: 0.000010000)",2675
BG,BG096,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,2001,2001-01-01--2001-12-31,0,1,0,,0,,0.072,,0.244,,0.031,,3,1,2,2,2,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_OUTLIER_LIMIT_MIN: Possible outlier - the lowest reported result value is lower than the minimum limit set for the respective observed property (result value: 0, limitMin: 0.000010000)",2677
FI,FI034,eionetGroundWaterBodyCode,GW,EEA_3132-01-2,Dissolved oxygen,W,mg/L,2004,2004-01-01--2004-12-31,0,1,0,,8.8,,8.93,,9.1,,,,0,0,1,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",13267
FI,FI034,eionetGroundWaterBodyCode,GW,EEA_3132-01-2,Dissolved oxygen,W,mg/L,2007,2007-01-01--2007-12-31,0,4,0,,8.9,,9.1,,9.4,,,,0,0,1,,,,Classes set by ETC,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",13269
BG,BG096,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,1995,1995-01-01--1995-12-31,0,1,0,,0.067,,0.269,,0.7,,0.122,,0,0,0,2,7,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",2671
BG,BG096,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,1997,1997-01-01--1997-12-31,0,1,0,,0,,0.094,,0.309,,0.059,,3,1,1,0,4,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_OUTLIER_LIMIT_MIN: Possible outlier - the lowest reported result value is lower than the minimum limit set for the respective observed property (result value: 0, limitMin: 0.000010000)",2673
FI,FI034,eionetGroundWaterBodyCode,GW,EEA_3132-01-2,Dissolved oxygen,W,mg/L,2003,2003-01-01--2003-12-31,0,1,0,,8.3,,8.5,,8.7,,,,0,0,1,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",13266
BG,BG096,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,1994,1994-01-01--1994-12-31,0,1,0,,0.072,,0.235,,0.633,,0.12,,0,0,0,1,8,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",2670
BG,BG096,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,1996,1996-01-01--1996-12-31,0,1,0,,0.04,,0.209,,0.852,,0.115,,0,0,1,3,5,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",2672
BG,BG2G000000Q005,euGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,1998,1998-01-01--1998-12-31,0,1,0,,0.011,,0.014,,0.017,,0.011,,0,2,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",4074
FI,FI034,eionetGroundWaterBodyCode,GW,EEA_3132-01-2,Dissolved oxygen,W,mg/L,2009,2009-01-01--2009-12-31,0,2,0,,8.9,,9,,9.1,,,,0,0,1,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",13271
FI,FI034,eionetGroundWaterBodyCode,GW,EEA_3132-01-2,Dissolved oxygen,W,mg/L,2011,2011-01-01--2011-12-31,0,1,0,,9.3,,9.3,,9.3,,,,0,0,1,,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",13273
BG,BG103,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,2002,2002-01-01--2002-12-31,0,1,0,,0,,0.002,,0.008,,,,6,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_OUTLIER_LIMIT_MIN: Possible outlier - the lowest reported result value is lower than the minimum limit set for the respective observed property (result value: 0, limitMin: 0.000010000)",2875
BG,BG103,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,2004,2004-01-01--2004-12-31,0,1,0,,0,,0.003,,0.009,,0.002,,5,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_OUTLIER_LIMIT_MIN: Possible outlier - the lowest reported result value is lower than the minimum limit set for the respective observed property (result value: 0, limitMin: 0.000010000)",2877
BG,BG2G000000Q005,euGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,1999,1999-01-01--1999-12-31,0,1,0,,0.014,,0.027,,0.04,,0.014,,0,1,1,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",4075
BG,BG2G000000Q005,euGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,2001,2001-01-01--2001-12-31,0,1,0,,0.004,,0.01,,0.016,,0.004,,1,1,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",4077
BG,BG103,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,1998,1998-01-01--1998-12-31,0,1,0,,0.002,,0.04,,0.126,,0.005,,3,1,0,1,1,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",2871
BG,BG103,eionetGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,2000,2000-01-01--2000-12-31,0,1,0,,0,,0.026,,0.083,,0.005,,3,1,1,1,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_OUTLIER_LIMIT_MIN: Possible outlier - the lowest reported result value is lower than the minimum limit set for the respective observed property (result value: 0, limitMin: 0.000010000)",2873
BG,BG2G000000Q005,euGroundWaterBodyCode,GW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,2000,2000-01-01--2000-12-31,0,1,0,,0.002,,0.002,,0.003,,0.002,,2,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"NOTE_LEGACY: The resultNumberOfSamples changed from 0 to 1;QC_LOQ_BELOW_MIN_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is below the lowest expected LOQ for this determinand (>0), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",4076
