Country,Year,Water Stress (%)
Afghanistan,2016,54.757019438
Afghanistan,2017,54.757019438
Afghanistan,2018,54.757019438
Afghanistan,2019,54.757019438
Afghanistan,2020,54.757019438
Afghanistan,2021,54.757019438
Afghanistan,2022,54.757019438
Albania,2016,6.5625
Albania,2017,6.556490385
Albania,2018,5.757211539
Albania,2019,6.796875
Albania,2020,4.723557692
Albania,2021,4.783653846
Albania,2022,4.789663461
Algeria,2016,129.871957225
Algeria,2017,137.920360208
Algeria,2018,141.799165142
Algeria,2019,145.677970077
Algeria,2020,149.556775011
Algeria,2021,140.59378078
Algeria,2022,144.814971155
Angola,2016,1.871883289
Angola,2017,1.871883289
Angola,2018,1.871883289
Angola,2019,1.871883289
Angola,2020,1.871883289
Angola,2021,1.871883289
Angola,2022,1.871883289
Antigua and Barbuda,2016,8.461538461
Antigua and Barbuda,2017,8.461538461
Antigua and Barbuda,2018,8.461538461
Antigua and Barbuda,2019,8.461538461
Antigua and Barbuda,2020,8.461538461
Antigua and Barbuda,2021,8.461538461
Antigua and Barbuda,2022,8.461538461
Argentina,2016,10.456664077
Argentina,2017,10.456664077
Argentina,2018,10.456664077
Argentina,2019,10.456664077
Argentina,2020,10.456664077
Argentina,2021,10.456664077
Argentina,2022,10.456664077
Armenia,2016,64.171878152
Armenia,2017,57.89792213
Armenia,2018,54.750857373
Armenia,2019,57.79705467
Armenia,2020,57.090982449
Armenia,2021,59.854750857
Armenia,2022,61.972967521
Australia,2016,4.271411339
Australia,2017,4.84866963
Australia,2018,4.957780458
Australia,2019,4.246079614
Australia,2020,3.369521512
Australia,2021,4.44712505
Australia,2022,4.672295939
Australia and New Zealand,2016,5.624288321
Australia and New Zealand,2017,6.018202898
Australia and New Zealand,2018,6.092658902
Australia and New Zealand,2019,5.607002236
Australia and New Zealand,2020,5.008848829
Australia and New Zealand,2021,5.744193385
Australia and New Zealand,2022,5.897847471
Austria,2016,8.998802616
Austria,2017,8.891345062
Austria,2018,8.783887507
Austria,2019,8.676429953
Austria,2020,8.676429953
Austria,2021,8.676429953
Austria,2022,8.676429953
Azerbaijan,2016,52.45308015
Azerbaijan,2017,53.52174873
Azerbaijan,2018,53.729300066
Azerbaijan,2019,55.597262089
Azerbaijan,2020,53.888628836
Azerbaijan,2021,57.265886509
Azerbaijan,2022,57.527047913
Bahrain,2016,133.706896552
Bahrain,2017,133.706896552
Bahrain,2018,133.706896552
Bahrain,2019,133.706896552
Bahrain,2020,133.706896552
Bahrain,2021,133.706896552
Bahrain,2022,133.706896552
Bangladesh,2016,5.723339482
Bangladesh,2017,5.723339482
Bangladesh,2018,5.723339482
Bangladesh,2019,5.723339482
Bangladesh,2020,5.723339482
Bangladesh,2021,5.723339482
Bangladesh,2022,5.723339482
Barbados,2016,87.5
Barbados,2017,87.5
Barbados,2018,87.5
Barbados,2019,87.5
Barbados,2020,87.5
Barbados,2021,87.5
Barbados,2022,87.5
Belarus,2016,4.782465392
Belarus,2017,4.614370468
Belarus,2018,4.581410679
Belarus,2019,4.475939354
Belarus,2020,4.377059987
Belarus,2021,4.696769941
Belarus,2022,4.660514173
Belgium,2016,51.511551904
Belgium,2017,53.956764742
Belgium,2018,51.28992629
Belgium,2019,51.584766585
Belgium,2020,52.169836155
Belgium,2021,52.825742252
Belgium,2022,52.825742252
Belize,2016,1.260294485
Belize,2017,1.260294485
Belize,2018,1.260294485
Belize,2019,1.260294485
Belize,2020,1.260294485
Belize,2021,1.260294485
Belize,2022,1.260294485
Benin,2016,0.975243811
Benin,2017,0.975243811
Benin,2018,0.975243811
Benin,2019,0.975243811
Benin,2020,0.975243811
Benin,2021,0.975243811
Benin,2022,0.975243811
Bhutan,2016,1.413807531
Bhutan,2017,1.413807531
Bhutan,2018,1.413807531
Bhutan,2019,1.413807531
Bhutan,2020,1.413807531
Bhutan,2021,1.413807531
Bhutan,2022,1.413807531
Bolivia (Plurinational State of),2016,1.222877723
Bolivia (Plurinational State of),2017,1.229431522
Bolivia (Plurinational State of),2018,1.235985321
Bolivia (Plurinational State of),2019,1.242539121
Bolivia (Plurinational State of),2020,0.207365543
Bolivia (Plurinational State of),2021,0.202979589
Bolivia (Plurinational State of),2022,0.202979589
Bosnia and Herzegovina,2016,2.786188579
Bosnia and Herzegovina,2017,2.662018592
Bosnia and Herzegovina,2018,2.071713147
Bosnia and Herzegovina,2019,2.028552457
Bosnia and Herzegovina,2020,2.000531208
Bosnia and Herzegovina,2021,2.03187251
Bosnia and Herzegovina,2022,2.071713147
Botswana,2016,2.104987975
Botswana,2017,2.018195127
Botswana,2018,2.133221792
Botswana,2019,2.112307853
Botswana,2020,2.305004706
Botswana,2021,2.442973031
Botswana,2022,2.230009819
Brazil,2016,3.135224586
Brazil,2017,3.105437352
Brazil,2018,1.464112726
Brazil,2019,1.484808454
Brazil,2020,1.47688177
Brazil,2021,1.481946279
Brazil,2022,1.495816821
Brunei Darussalam,2016,3.466465712
Brunei Darussalam,2017,3.466465712
Brunei Darussalam,2018,3.466465712
Brunei Darussalam,2019,3.466465712
Brunei Darussalam,2020,3.466465712
Brunei Darussalam,2021,3.466465712
Brunei Darussalam,2022,3.466465712
Bulgaria,2016,42.05041023
Bulgaria,2017,41.821272821
Bulgaria,2018,40.099046493
Bulgaria,2019,40.076871905
Bulgaria,2020,36.728509129
Bulgaria,2021,38.52465075
Bulgaria,2022,40.235300924
Burkina Faso,2016,7.820267686
Burkina Faso,2017,7.820267686
Burkina Faso,2018,7.820267686
Burkina Faso,2019,7.820267686
Burkina Faso,2020,7.820267686
Burkina Faso,2021,7.820267686
Burkina Faso,2022,7.820267686
Burundi,2016,10.19286754
Burundi,2017,10.19286754
Burundi,2018,10.19286754
Burundi,2019,10.19286754
Burundi,2020,10.19286754
Burundi,2021,10.19286754
Burundi,2022,10.19286754
Cabo Verde,2016,39.652858556
Cabo Verde,2017,42.020933482
Cabo Verde,2018,44.389008407
Cabo Verde,2019,48.95751
Cabo Verde,2020,68.943736667
Cabo Verde,2021,57.177506667
Cabo Verde,2022,59.68371
Cambodia,2016,1.03654485
Cambodia,2017,1.03654485
Cambodia,2018,1.03654485
Cambodia,2019,1.03654485
Cambodia,2020,1.03654485
Cambodia,2021,1.03654485
Cambodia,2022,1.03654485
Cameroon,2016,1.560430107
Cameroon,2017,1.560430107
Cameroon,2018,1.560430107
Cameroon,2019,1.560430107
Cameroon,2020,1.560430107
Cameroon,2021,1.560430107
Cameroon,2022,1.560430107
Canada,2016,3.706642636
Canada,2017,3.733573635
Canada,2018,3.733573635
Canada,2019,3.733573635
Canada,2020,3.733573635
Canada,2021,3.720700309
Canada,2022,3.720700309
Central African Republic,2016,0.335648148
Central African Republic,2017,0.335648148
Central African Republic,2018,0.335648148
Central African Republic,2019,0.335648148
Central African Republic,2020,0.335648148
Central African Republic,2021,0.335648148
Central African Republic,2022,0.335648148
Central Asia,2016,75.413655777
Central Asia,2017,78.62953866
Central Asia,2018,77.331694635
Central Asia,2019,76.489925815
Central Asia,2020,74.402771298
Central Asia,2021,69.67652571
Central Asia,2022,70.206729529
Central and Southern Asia,2016,71.312577389
Central and Southern Asia,2017,71.647239621
Central and Southern Asia,2018,71.064922957
Central and Southern Asia,2019,70.002793428
Central and Southern Asia,2020,70.574456203
Central and Southern Asia,2021,69.761307367
Central and Southern Asia,2022,69.510381072
Chad,2016,4.294921875
Chad,2017,4.294921875
Chad,2018,4.294921875
Chad,2019,4.294921875
Chad,2020,4.294921875
Chad,2021,4.294921875
Chad,2022,4.294921875
Chile,2016,8.982121089
Chile,2017,8.982121089
Chile,2018,8.982121089
Chile,2019,8.982121089
Chile,2020,8.982121089
Chile,2021,8.982121089
Chile,2022,8.982121089
China,2016,44.11416719
China,2017,43.544499788
China,2018,43.302756314
China,2019,43.212193804
China,2020,41.518528797
China,2021,41.518528797
China,2022,41.518528797
Colombia,2016,3.002875749
Colombia,2017,3.154613772
Colombia,2018,3.204803892
Colombia,2019,3.272073353
Colombia,2020,3.392555389
Colombia,2021,3.52426497
Colombia,2022,3.632281437
Comoros,2016,0.833333333
Comoros,2017,0.833333333
Comoros,2018,0.833333333
Comoros,2019,0.833333333
Comoros,2020,0.833333333
Comoros,2021,0.833333333
Comoros,2022,0.833333333
Congo,2016,0.027446301
Congo,2017,0.027446301
Congo,2018,0.027446301
Congo,2019,0.027446301
Congo,2020,0.027446301
Congo,2021,0.027446301
Congo,2022,0.027446301
Costa Rica,2016,4.987559727
Costa Rica,2017,4.163822526
Costa Rica,2018,5.211023891
Costa Rica,2019,5.355170648
Costa Rica,2020,5.351672355
Costa Rica,2021,5.881962457
Costa Rica,2022,5.881962457
Croatia,2016,1.415320142
Croatia,2017,1.502830147
Croatia,2018,1.486674077
Croatia,2019,1.493997332
Croatia,2020,1.462872388
Croatia,2021,1.47843486
Croatia,2022,1.509559804
Cuba,2016,23.939446069
Cuba,2017,23.939446069
Cuba,2018,23.939446069
Cuba,2019,23.939446069
Cuba,2020,23.939446069
Cuba,2021,23.939446069
Cuba,2022,23.939446069
Cyprus,2016,29.797703663
Cyprus,2017,29.524330235
Cyprus,2018,28.294149809
Cyprus,2019,27.610716238
Cyprus,2020,31.574630946
Cyprus,2021,32.121377802
Cyprus,2022,30.481137234
Czechia,2016,24.860097324
Czechia,2017,24.787104623
Czechia,2018,24.178832117
Czechia,2019,22.901459854
Czechia,2020,20.772506083
Czechia,2021,20.513990268
Czechia,2022,21.973844282
Côte d'Ivoire,2016,5.087565674
Côte d'Ivoire,2017,5.087565674
Côte d'Ivoire,2018,5.087565674
Côte d'Ivoire,2019,5.087565674
Côte d'Ivoire,2020,5.087565674
Côte d'Ivoire,2021,5.087565674
Côte d'Ivoire,2022,5.087565674
Democratic People's Republic of Korea,2016,27.740467799
Democratic People's Republic of Korea,2017,27.740467799
Democratic People's Republic of Korea,2018,27.740467799
Democratic People's Republic of Korea,2019,27.740467799
Democratic People's Republic of Korea,2020,27.740467799
Democratic People's Republic of Korea,2021,27.740467799
Democratic People's Republic of Korea,2022,27.740467799
Democratic Republic of the Congo,2016,0.226883505
Democratic Republic of the Congo,2017,0.226883505
Democratic Republic of the Congo,2018,0.226883505
Democratic Republic of the Congo,2019,0.226883505
Democratic Republic of the Congo,2020,0.226883505
Democratic Republic of the Congo,2021,0.226883505
Democratic Republic of the Congo,2022,0.226883505
Denmark,2016,23.985803137
Denmark,2017,24.22385073
Denmark,2018,29.903109789
Denmark,2019,25.570416441
Denmark,2020,25.615927528
Denmark,2021,25.937398594
Denmark,2022,25.266360195
Djibouti,2016,6.333333333
Djibouti,2017,6.333333333
Djibouti,2018,6.333333333
Djibouti,2019,6.333333333
Djibouti,2020,6.333333333
Djibouti,2021,6.333333333
Djibouti,2022,6.333333333
Dominica,2016,10.0
Dominica,2017,10.0
Dominica,2018,10.0
Dominica,2019,10.0
Dominica,2020,10.0
Dominica,2021,10.0
Dominica,2022,10.0
Dominican Republic,2016,39.553314121
Dominican Republic,2017,39.553314121
Dominican Republic,2018,39.553314121
Dominican Republic,2019,39.553314121
Dominican Republic,2020,39.553314121
Dominican Republic,2021,39.553314121
Dominican Republic,2022,39.553314121
Eastern Asia,2016,46.430442615
Eastern Asia,2017,45.903143427
Eastern Asia,2018,45.677433652
Eastern Asia,2019,45.552682381
Eastern Asia,2020,44.145050767
Eastern Asia,2021,44.145050767
Eastern Asia,2022,44.145050767
Eastern and South-Eastern Asia,2016,31.33721491
