ISO3,Country,Area,Indicator,Value Text,Count,Share (%)
ALB,Albania,Urban,ATH09,No,62,25.0
AGO,Angola,Urban,ATH09,No,62,25.0
ARG,Argentina,Urban,ATH09,Partially,81,32.7
AZE,Azerbaijan,Urban,ATH09,Fully,86,34.7
BHR,Bahrain,Urban,ATH09,Fully,86,34.7
BGD,Bangladesh,Urban,ATH09,No response,19,7.7
BRB,Barbados,Urban,ATH09,Partially,81,32.7
BLR,Belarus,Urban,ATH09,Fully,86,34.7
BLZ,Belize,Urban,ATH09,No,62,25.0
BEN,Benin,Urban,ATH09,Partially,81,32.7
BTN,Bhutan,Urban,ATH09,No,62,25.0
BOL,Bolivia (Plurinational State of),Urban,ATH09,Fully,86,34.7
BIH,Bosnia and Herzegovina,Urban,ATH09,No response,19,7.7
BWA,Botswana,Urban,ATH09,No response,19,7.7
BRA,Brazil,Urban,ATH09,Partially,81,32.7
VGB,British Virgin Islands,Urban,ATH09,No,62,25.0
BFA,Burkina Faso,Urban,ATH09,No,62,25.0
BDI,Burundi,Urban,ATH09,No,62,25.0
CPV,Cabo Verde,Urban,ATH09,Fully,86,34.7
KHM,Cambodia,Urban,ATH09,No response,19,7.7
CMR,Cameroon,Urban,ATH09,Fully,86,34.7
CAF,Central African Republic,Urban,ATH09,Partially,81,32.7
TCD,Chad,Urban,ATH09,Partially,81,32.7
CHL,Chile,Urban,ATH09,Fully,86,34.7
CHN,China,Urban,ATH09,Partially,81,32.7
COL,Colombia,Urban,ATH09,Fully,86,34.7
COM,Comoros,Urban,ATH09,No,62,25.0
COG,Congo,Urban,ATH09,Partially,81,32.7
CRI,Costa Rica,Urban,ATH09,Fully,86,34.7
CIV,Côte d'Ivoire,Urban,ATH09,No response,19,7.7
HRV,Croatia,Urban,ATH09,Fully,86,34.7
CUB,Cuba,Urban,ATH09,No,62,25.0
COD,Democratic Republic of the Congo,Urban,ATH09,No,62,25.0
DOM,Dominican Republic,Urban,ATH09,No response,19,7.7
ECU,Ecuador,Urban,ATH09,Fully,86,34.7
EGY,Egypt,Urban,ATH09,Partially,81,32.7
SLV,El Salvador,Urban,ATH09,No,62,25.0
ERI,Eritrea,Urban,ATH09,Partially,81,32.7
EST,Estonia,Urban,ATH09,Fully,86,34.7
ETH,Ethiopia,Urban,ATH09,Partially,81,32.7
FJI,Fiji,Urban,ATH09,Fully,86,34.7
GAB,Gabon,Urban,ATH09,No,62,25.0
GMB,Gambia,Urban,ATH09,No,62,25.0
GEO,Georgia,Urban,ATH09,Fully,86,34.7
GHA,Ghana,Urban,ATH09,Partially,81,32.7
