Country,Limited Water Service (%),No Water Service (%),Basic Water Service (%),Basic Cleanliness (%)
Bhutan,4.700000000000003,0.0,95.3,5.43
Cambodia,1.4589533239824846,2.514546676017517,96.0265,1.6556
Guinea-Bissau,19.576739285714666,8.752314285713965,71.67094642857137,4.1379
Iran (Islamic Republic of),9.973000000000027,1.8867999999999796,88.1402,61.4925
Iraq,32.343099588520786,0.0,67.65690041147921,19.8124
Jordan,7.465600000000009,23.182699999999997,69.3517,30.4519
Malaysia,0.06973500697350232,0.0,99.9302649930265,100.0
Malta,0.0,0.0,100.0,100.0
Mongolia,11.598699999999994,0.3135000000000048,88.0878,58.7629
Morocco,12.956600000000009,5.999899999999997,81.0435,5.9961
Nicaragua,29.732516896024485,11.795983103975516,58.4715,26.7595
North Macedonia,0.0,0.0,100.0,100.0
Oman,0.0,0.0,100.0,89.7436
Qatar,0.0,0.0,100.0,100.0
Rwanda,5.183899044853916,14.313500955146083,80.5026,13.5225
San Marino,0.0,0.0,100.0,100.0
Saudi Arabia,0.0,0.0,100.0,100.0
Serbia,1.4300000000000068,0.46999999999999886,98.1,56.3
Singapore,0.0,0.0,100.0,100.0
Solomon Islands,11.36366666666666,19.1717,69.46463333333334,14.6919
Somalia,51.42170000000043,6.398199999999989,42.180099999999584,11.5282
State of Palestine,4.07954423076923,2.592355769230764,93.3281,34.6457
Sudan,54.029700000000005,19.10459999999999,26.8657,1.0791
Syrian Arab Republic,30.136537821458802,3.6613621785411965,66.2021,6.6434
Tajikistan,15.204683167299919,48.85714285714286,35.93817397555722,17.14285714285714
Tunisia,43.51358000000009,0.05181999999990694,56.4346,25.4881
Uganda,37.21596776569777,4.095277308929326,58.688754925372905,25.8
Vanuatu,12.788200000000003,14.7316,72.4802,1.4815
