Country,Year,Survey name,Poorest,Richest,Ratio
Afghanistan,2015,DHS,45,92,2.0
Albania,2018,DHS,93,98,1.1
Algeria,2019,MICS,89,96,1.1
Angola,2016,DHS,21,89,4.3
Armenia,2016,DHS,>99,>99,1.0
Azerbaijan,2006,DHS,69,98,1.4
Bangladesh,2019,MICS,94,>99,1.1
Barbados,2012,MICS,99,>99,1.0
Belarus,2012,MICS,99,>99,1.0
Belize,2016,MICS,95,97,1.0
Benin,2018,DHS,44,83,1.9
Bhutan,2010,MICS,91,>99,1.1
Bolivia (Plurinational State of),2016,EDS,77,>99,1.3
Bosnia and Herzegovina,2012,MICS,98,>99,1.0
Burkina Faso,2018,MIS,40,78,1.9
Burundi,2017,DHS,54,80,1.5
Cambodia,2014,DHS,61,95,1.6
Cameroon,2019,DHS,38,92,2.4
Central African Republic,2019,MICS,27,52,2.0
Chad,2019,MICS,43,77,1.8
Colombia,2015,DHS,74,>99,1.3
Comoros,2012,DHS,70,93,1.3
Congo,2015,MICS,34,92,2.7
Costa Rica,2018,MICS,99,>99,1.0
Côte d'Ivoire,2016,MICS,51,98,1.9
Cuba,2019,MICS,96,98,1.0
Democratic Republic of the Congo,2018,MICS,18,93,5.1
Dominican Republic,2014,MICS,92,>99,1.1
Egypt,2015,DHS,>99,>99,1.0
El Salvador,2014,MICS,86,>99,1.2
Eswatini,2014,MICS,41,98,2.4
Ethiopia,2016,DHS,27,84,3.1
Gabon,2012,DHS,55,96,1.8
Gambia,2020,DHS,82,98,1.2
Georgia,2018,MICS,91,>99,1.1
Ghana,2018,MICS,54,99,1.8
Guatemala,2015,DHS,84,>99,1.2
Guinea,2018,DHS,43,92,2.1
Guinea-Bissau,2019,MICS,45,91,2.0
Guyana,2020,MICS,86,96,1.1
Haiti,2017,DHS,28,95,3.4
Honduras,2012,DHS,94,>99,1.1
India,2016,DHS,87,98,1.1
Indonesia,2017,DHS,74,99,1.3
Iraq,2018,MICS,96,>99,1.0
Jamaica,2011,MICS,88,98,1.1
Jordan,2018,DHS,>99,>99,1.0
Kazakhstan,2015,MICS,98,>99,1.0
Kenya,2015,MIS,38,94,2.5
Kiribati,2019,MICS,56,99,1.7
Kyrgyzstan,2018,MICS,88,>99,1.1
Lao People’s Democratic Republic,2017,MICS,61,>99,1.6
Lesotho,2018,MICS,61,96,1.6
Liberia,2020,DHS,55,88,1.6
Madagascar,2018,MICS,17,84,4.9
Malawi,2016,DHS,55,82,1.5
Maldives,2017,DHS,99,>99,1.0
Mali,2018,DHS,42,96,2.3
Mauritania,2015,MICS,34,95,2.8
Mexico,2015,MICS,94,>99,1.1
Mongolia,2018,MICS,42,99,2.4
Montenegro,2018,MICS,99,99,1.0
Mozambique,2018,MIS,35,95,2.7
Myanmar,2016,DHS,67,95,1.4
Namibia,2013,DHS,51,>99,1.9
Nepal,2019,MICS,88,97,1.1
Nicaragua,2011,ENDESA,51,98,1.9
Niger,2006,DHS,31,70,2.2
Country,Year,Survey name,Poorest,Richest,Ratio
Nigeria,2018,DHS,43,95,2.2
North Macedonia,2019,MICS,98,>99,1.0
occupied Palestinian territory,2020,MICS,98,>99,1.0
Pakistan,2018,DHS,78,98,1.2
Panama,2013,MICS,87,>99,1.2
Papua New Guinea,2018,DHS,22,89,4.0
Paraguay,2016,MICS,81,>99,1.2
Peru,2016,ENDES,77,>99,1.3
Philippines,2017,DHS,83,>99,1.2
Republic of Moldova,2012,MICS,71,96,1.3
Rwanda,2015,DHS,41,80,2.0
Saint Lucia,2012,MICS,97,>99,1.0
Sao Tome and Principe,2019,MICS,84,94,1.1
Senegal,2019,DHS,50,98,2.0
Serbia,2019,MICS,98,>99,1.0
Sierra Leone,2019,DHS,38,74,2.0
Somalia,2017,SHFS,42,96,2.3
"South Africa",2016,DHS,68,>99,1.5
Sudan,2014,MICS,36,96,2.7
Suriname,2018,MICS,94,>99,1.1
Tajikistan,2017,DHS,72,98,1.4
Thailand,2019,MICS,99,>99,1.0
Timor-Leste,2016,DHS,61,96,1.6
Togo,2017,MICS,40,95,2.3
Tonga,2019,MICS,>99,>99,1.0
Trinidad and Tobago,2011,MICS,98,>99,1.0
Tunisia,2018,MICS,88,98,1.1
Turkey,2013,DHS,96,>99,1.0
Turkmenistan,2016,MICS,98,>99,1.0
Uganda,2016,DHS,43,82,1.9
Ukraine,2012,MICS,98,99,1.0
United Republic of Tanzania,2016,DHS,25,87,3.5
Uruguay,2013,MICS,99,>99,1.0
Viet Nam,2014,MICS,80,>99,1.2
Yemen,2013,DHS,32,96,3.0
Zambia,2018,DHS,41,94,2.3
Zimbabwe,2019,MICS,36,94,2.6
