Country,Year,Average Oxidized Nitrogen (mg/L),Notes
Argentina,2011,1.865,"Low pollution, relatively clean water"
Argentina,2012,1.92875,"Low pollution, relatively clean water"
Argentina,2013,1.645,"Low pollution, relatively clean water"
Argentina,2018,0.4415582519280206,"Low pollution, relatively clean water"
Argentina,2019,0.5523646781558403,"Low pollution, relatively clean water"
Argentina,2020,0.7219206299212598,"Low pollution, relatively clean water"
Argentina,2021,0.6574427425237054,"Low pollution, relatively clean water"
Argentina,2022,0.7294459259259259,"Low pollution, relatively clean water"
Argentina,2023,0.034,"Low pollution, relatively clean water"
Austria,2013,3.985454237423283,Moderate to high pollution risk
Austria,2014,3.376383121735209,Moderate to high pollution risk
Austria,2015,3.7519847526928243,Moderate to high pollution risk
Austria,2016,1.2100590110524547,"Low pollution, relatively clean water"
Austria,2017,1.3159159514257557,"Low pollution, relatively clean water"
Austria,2018,1.2826202478859559,"Low pollution, relatively clean water"
Austria,2019,1.322170989132472,"Low pollution, relatively clean water"
Austria,2020,1.1898309477326459,"Low pollution, relatively clean water"
Austria,2021,1.1715438317590858,"Low pollution, relatively clean water"
Belgium,2013,1.8688082959641257,"Low pollution, relatively clean water"
Belgium,2014,1.7404879385964913,"Low pollution, relatively clean water"
Belgium,2015,1.7644712765957447,"Low pollution, relatively clean water"
Belgium,2016,1.9332676501580612,"Low pollution, relatively clean water"
Belgium,2017,1.7452829989440337,"Low pollution, relatively clean water"
Belgium,2018,1.7752469631440162,"Low pollution, relatively clean water"
Belgium,2019,1.9046028263414636,"Low pollution, relatively clean water"
Belgium,2020,1.907051225473251,"Low pollution, relatively clean water"
Belgium,2021,1.9739512348949582,"Low pollution, relatively clean water"
Bulgaria,2013,0.410585912,"Low pollution, relatively clean water"
Bulgaria,2014,0.41482244143999997,"Low pollution, relatively clean water"
Bulgaria,2015,0.60752570477,"Low pollution, relatively clean water"
Bulgaria,2016,0.55052248682,"Low pollution, relatively clean water"
Bulgaria,2017,0.5040116374,"Low pollution, relatively clean water"
Bulgaria,2018,0.5032869307500001,"Low pollution, relatively clean water"
Bulgaria,2019,0.475721078765,"Low pollution, relatively clean water"
