Country,Year,Average Oxygen Demand (mg/L),Notes
Argentina,2011,14.0,High pollution
Argentina,2012,3.625,Low pollution
Argentina,2013,8.875,High pollution
Argentina,2021,9.0,High pollution
Austria,2014,2.0376708860759494,Low pollution
Austria,2017,2.475,Low pollution
Austria,2021,1.213720238095238,Low pollution
Belgium,2013,15.338392434988181,High pollution
Belgium,2014,18.248337837837838,High pollution
Belgium,2015,18.228374816983894,High pollution
Belgium,2016,16.041923076923077,High pollution
Belgium,2017,15.747077625570777,High pollution
Belgium,2018,15.696199494949495,High pollution
Belgium,2019,16.125688073394496,High pollution
Belgium,2020,15.737297668038408,High pollution
Belgium,2021,15.312514757969304,High pollution
Bulgaria,2013,12.3275,High pollution
Bulgaria,2014,10.646153846153846,High pollution
Bulgaria,2015,9.57826923076923,High pollution
Bulgaria,2016,10.511176470588236,High pollution
Bulgaria,2017,10.855294117647059,High pollution
Bulgaria,2018,11.2659375,High pollution
Bulgaria,2019,10.415909090909091,High pollution
Bulgaria,2020,8.674615384615384,High pollution
Canada,2015,4.45,Moderate pollution
Canada,2016,4.094117647058823,Moderate pollution
Canada,2017,7.616216216216216,Moderate pollution
Canada,2018,5.644444444444444,Moderate pollution
Canada,2019,5.9399999999999995,Moderate pollution
Croatia,2013,6.326722846441948,Moderate pollution
Croatia,2014,3.6418724409448817,Low pollution
Croatia,2015,3.012723076923077,Low pollution
Croatia,2016,2.9133556149732622,Low pollution
Croatia,2017,3.0700136239782014,Low pollution
Croatia,2018,2.9204411764705887,Low pollution
Croatia,2019,3.3106880733944957,Low pollution
Croatia,2021,4.5291015625,Moderate pollution
Estonia,2013,9.707692307692307,High pollution
Estonia,2014,9.41547619047619,High pollution
Estonia,2015,9.799999999999999,High pollution
Estonia,2016,11.366964285714285,High pollution
Estonia,2017,10.243564356435643,High pollution
Estonia,2018,9.102884615384616,High pollution
Estonia,2019,13.304347826086957,High pollution
Estonia,2020,16.360869565217392,High pollution
Estonia,2021,9.913461538461538,High pollution
Finland,2013,15.85006329113924,High pollution
Finland,2014,15.014147909967845,High pollution
Finland,2015,17.238867924528304,High pollution
Finland,2016,17.05603448275862,High pollution
Finland,2017,15.6056,High pollution
Finland,2018,15.060769230769232,High pollution
Finland,2019,14.602222222222222,High pollution
Finland,2020,16.716968325791854,High pollution
Finland,2021,17.147426470588236,High pollution
France,2013,4.874360068259386,Moderate pollution
France,2014,7.262885662431942,Moderate pollution
France,2015,7.789086294416244,Moderate pollution
Greece,2012,3.6669871711339326,Low pollution
Greece,2013,3.727145744238787,Low pollution
Greece,2015,2.664078946134314,Low pollution
Greece,2018,7.3668918805616395,Moderate pollution
Greece,2019,7.437992843889419,Moderate pollution
Greece,2020,0.9999999880790718,Low pollution
India,1980,3.11,Low pollution
India,1981,3.840727272727273,Low pollution
India,1982,6.781527777777778,Moderate pollution
India,1983,5.995138888888889,Moderate pollution
India,1984,5.68,Moderate pollution
India,1985,12.407894736842104,High pollution
India,1986,3.8736363636363635,Low pollution
India,1987,16.055306748466258,High pollution
India,1988,14.88340625,High pollution
India,1989,13.752932659932661,High pollution
India,1990,9.322659021406729,High pollution
India,1991,5.117426710097719,Moderate pollution
India,1992,3.303705263157895,Low pollution
India,1993,6.330600358422939,Moderate pollution
India,1994,6.095113675213676,Moderate pollution
India,1995,11.840915378356387,High pollution
India,1996,3.5771174275618374,Low pollution
India,1997,4.10564489003881,Moderate pollution
India,1998,3.350494642857143,Low pollution
India,1999,3.5488654088050313,Low pollution
India,2000,3.6010879629629633,Low pollution
India,2001,4.213269657258064,Moderate pollution
India,2002,5.034542491268917,Moderate pollution
India,2003,4.715970217640321,Moderate pollution
India,2004,5.812219785575048,Moderate pollution
India,2005,8.12411499272198,High pollution
India,2006,7.792989054726368,Moderate pollution
India,2007,10.365183654297791,High pollution
India,2008,11.042174245835211,High pollution
India,2009,12.231545675020211,High pollution
India,2010,12.155222804532578,High pollution
India,2011,10.398000993377483,High pollution
India,2012,11.88089012979173,High pollution
India,2013,11.532752848244622,High pollution
India,2014,12.337255752985726,High pollution
India,2015,14.05075532495904,High pollution
India,2016,12.538998827323367,High pollution
India,2017,17.285226124305204,High pollution
India,2018,7.9898115720392555,Moderate pollution
India,2019,7.230244614526839,Moderate pollution
India,2020,5.569269387755102,Moderate pollution
India,2021,9.31331397016638,High pollution
Ireland,2013,2.604969696969697,Low pollution
Ireland,2014,1.8854508196721311,Low pollution
Ireland,2015,1.899769392033543,Low pollution
Ireland,2016,1.2054662379421222,Low pollution
Ireland,2017,1.368,Low pollution
Ireland,2018,1.3022082018927446,Low pollution
Ireland,2019,1.3130030959752323,Low pollution
Ireland,2020,1.3282544378698224,Low pollution
Ireland,2021,1.3059561128526647,Low pollution
Italy,2015,9.782166752444674,High pollution
Italy,2016,4.908333738158854,Moderate pollution
Italy,2017,7.865120481927711,Moderate pollution
Italy,2018,5.844549776286353,Moderate pollution
Italy,2019,8.12968913857678,High pollution
Italy,2020,6.821724226804124,Moderate pollution
Italy,2021,7.658316532258064,Moderate pollution
Latvia,2013,1.18,Low pollution
Latvia,2014,1.845,Low pollution
Latvia,2015,1.9353333333333333,Low pollution
Latvia,2016,3.661,Low pollution
Latvia,2017,1.50875,Low pollution
Latvia,2018,1.6295652173913042,Low pollution
Latvia,2019,1.580909090909091,Low pollution
Latvia,2020,2.1510000000000002,Low pollution
Latvia,2021,1.8515000000000001,Low pollution
Lithuania,2013,14.77328231292517,High pollution
Lithuania,2014,14.270932203389831,High pollution
Lithuania,2015,13.338366666666667,High pollution
Lithuania,2016,13.395086614173227,High pollution
Lithuania,2017,15.53540157480315,High pollution
Lithuania,2018,14.224267716535433,High pollution
Lithuania,2019,13.423070866141732,High pollution
Lithuania,2020,14.439447077409163,High pollution
Lithuania,2021,14.026687697160883,High pollution
Macedonia (the former Yugoslav Republic of),2013,3.669052605,Low pollution
Macedonia (the former Yugoslav Republic of),2014,3.6994999999999996,Low pollution
Macedonia (the former Yugoslav Republic of),2015,3.107900552486188,Low pollution
Macedonia (the former Yugoslav Republic of),2016,2.9660648148148145,Low pollution
Macedonia (the former Yugoslav Republic of),2017,3.4014975845410627,Low pollution
Macedonia (the former Yugoslav Republic of),2018,3.6793684210526316,Low pollution
Macedonia (the former Yugoslav Republic of),2019,3.5987666666666667,Low pollution
Macedonia (the former Yugoslav Republic of),2020,3.357640449438202,Low pollution
Macedonia (the former Yugoslav Republic of),2021,3.700095238095238,Low pollution
Mexico,2012,63.57586358293839,High pollution
Mexico,2013,61.83564042684657,High pollution
Mexico,2014,60.616881684789206,High pollution
Mexico,2015,44.3872988431094,High pollution
Mexico,2016,50.15228656420426,High pollution
Mexico,2017,50.94130444804537,High pollution
Mexico,2018,49.14352775803374,High pollution
Mexico,2019,53.64428358034971,High pollution
Mexico,2020,31.93826205385097,High pollution
Mexico,2021,29.54148435434112,High pollution
Norway,1977,2.3000000000000003,Low pollution
Norway,1978,2.187777777777778,Low pollution
Norway,1979,5.2,Moderate pollution
Norway,1980,5.023076923076923,Moderate pollution
Norway,1981,4.2620588235294115,Moderate pollution
Norway,1982,4.145666666666667,Moderate pollution
Norway,1983,4.267878787878788,Moderate pollution
Norway,1984,4.1725,Moderate pollution
Norway,1985,9.2,High pollution
Norway,1986,1.55,Low pollution
Norway,1987,2.0140000000000002,Low pollution
Norway,1989,1.888,Low pollution
Norway,1990,3.7975,Low pollution
Norway,1991,4.656923076923077,Moderate pollution
Norway,1992,2.5388888888888888,Low pollution
Norway,1993,2.854375,Low pollution
Norway,1994,3.3706666666666667,Low pollution
Norway,1995,3.0541666666666667,Low pollution
Norway,1996,2.6816666666666666,Low pollution
Norway,1997,2.66,Low pollution
Norway,1998,2.8333333333333335,Low pollution
Norway,1999,2.1,Low pollution
Norway,2016,7.7,Moderate pollution
Norway,2017,3.6,Low pollution
Poland,2013,5.316677115987461,Moderate pollution
Poland,2014,5.820295857988166,Moderate pollution
Poland,2015,6.57483870967742,Moderate pollution
Portugal,2010,3.0058823529411764,Low pollution
Portugal,2011,2.4586956521739127,Low pollution
Portugal,2012,1.449468085106383,Low pollution
Portugal,2013,0.9755813953488373,Low pollution
Portugal,2014,1.307843137254902,Low pollution
Portugal,2015,1.1849056603773584,Low pollution
Portugal,2016,3.0,Low pollution
Portugal,2017,3.1375,Low pollution
Portugal,2018,1.425,Low pollution
Portugal,2019,0.75,Low pollution
Portugal,2020,0.6636363636363636,Low pollution
Portugal,2021,1.0308333333333333,Low pollution
Serbia,2000,2.836654804270463,Low pollution
Serbia,2001,2.478308823529412,Low pollution
Serbia,2002,2.579725085910653,Low pollution
Serbia,2003,2.78932384341637,Low pollution
Serbia,2013,5.397892888498683,Moderate pollution
Serbia,2014,5.6976146788990825,Moderate pollution
Serbia,2015,6.229465020576132,Moderate pollution
Serbia,2016,4.2275816993464055,Moderate pollution
Serbia,2017,4.466666666666667,Moderate pollution
Serbia,2018,4.419363057324841,Moderate pollution
Serbia,2019,4.538794871794871,Moderate pollution
Serbia,2020,3.766370157819225,Low pollution
Slovenia,1995,2.4833333333333334,Low pollution
Slovenia,1996,2.536363636363636,Low pollution
Slovenia,1997,3.1833333333333336,Low pollution
Slovenia,1998,2.5500000000000003,Low pollution
Slovenia,1999,2.6863636363636365,Low pollution
Slovenia,2000,2.7875,Low pollution
Slovenia,2001,2.77037037037037,Low pollution
Slovenia,2002,3.0074074074074075,Low pollution
Slovenia,2003,3.340740740740741,Low pollution
Slovenia,2004,3.122448979591837,Low pollution
Slovenia,2005,2.9562500000000003,Low pollution
Slovenia,2006,1.2625,Low pollution
Slovenia,2007,2.0357142857142856,Low pollution
Slovenia,2008,1.301923076923077,Low pollution
Slovenia,2009,1.1615384615384614,Low pollution
Slovenia,2010,0.9857142857142858,Low pollution
Slovenia,2011,1.0446428571428572,Low pollution
Slovenia,2012,1.1125,Low pollution
Slovenia,2013,1.0542857142857143,Low pollution
Slovenia,2014,0.9160714285714285,Low pollution
Slovenia,2015,1.0827586206896553,Low pollution
Slovenia,2016,0.5,Low pollution
Slovenia,2017,0.5,Low pollution
Slovenia,2018,0.993103448275862,Low pollution
Slovenia,2019,0.9400000000000001,Low pollution
Slovenia,2020,2.6083333333333334,Low pollution
Slovenia,2021,2.6545454545454543,Low pollution
Sweden,2015,10.761111111111111,High pollution
Sweden,2016,9.533038793103447,High pollution
Sweden,2017,10.728675352877309,High pollution
Sweden,2018,9.001899141630902,High pollution
Sweden,2019,10.165069222577209,High pollution
Sweden,2020,10.440438871473354,High pollution
Sweden,2021,11.222685185185185,High pollution
United States of America (the),1979,2.109090909090909,Low pollution
United States of America (the),1980,2.3833333333333333,Low pollution
United States of America (the),1981,2.626315789473684,Low pollution
United States of America (the),1982,3.0300000000000002,Low pollution
United States of America (the),1983,2.9125,Low pollution
United States of America (the),1984,6.05,Moderate pollution
United States of America (the),1985,35.825,High pollution
United States of America (the),1986,24.333333333333332,High pollution
United States of America (the),1987,15.17142857142857,High pollution
United States of America (the),1988,26.522727272727273,High pollution
United States of America (the),1989,19.73913043478261,High pollution
United States of America (the),1990,21.58139534883721,High pollution
United States of America (the),1991,16.772727272727273,High pollution
United States of America (the),1992,19.73913043478261,High pollution
United States of America (the),1993,25.675,High pollution
United States of America (the),1994,14.215151515151517,High pollution
United States of America (the),1995,12.959259259259259,High pollution
United States of America (the),1996,23.142857142857142,High pollution
United States of America (the),1997,14.666666666666666,High pollution
United States of America (the),1998,15.142857142857142,High pollution
United States of America (the),1999,14.625,High pollution
United States of America (the),2000,15.555555555555555,High pollution
United States of America (the),2001,10.125,High pollution
United States of America (the),2002,9.5,High pollution
United States of America (the),2003,14.375,High pollution
United States of America (the),2004,11.166666666666666,High pollution
United States of America (the),2005,16.666666666666668,High pollution
Uruguay,2003,3.6077777777777778,Low pollution
Uruguay,2007,2.4,Low pollution
Uruguay,2008,2.8000000000000003,Low pollution
Uruguay,2009,3.85625,Low pollution
Uruguay,2010,1.1428571428571428,Low pollution
Uruguay,2011,2.75,Low pollution
Uruguay,2012,2.669147286821705,Low pollution
Uruguay,2013,60.43821052631579,High pollution
Uruguay,2014,7.471158301158301,Moderate pollution
Uruguay,2015,6.908759124087592,Moderate pollution
Uruguay,2016,6.625877192982457,Moderate pollution
Uruguay,2017,6.270354609929078,Moderate pollution
Uruguay,2018,5.557230046948357,Moderate pollution
Uruguay,2019,6.568865546218488,Moderate pollution
Uruguay,2020,5.817242990654206,Moderate pollution
Uruguay,2021,8.024545454545455,High pollution
Uruguay,2022,7.0,Moderate pollution
Uruguay,2023,9.09442857142857,High pollution
