Species,HabitatType,status,StartLatitude,StartLongitude,DepthLower,Weight_kg,Number
Lophelia pertusa,Cold-water coral reef,Present,60.3677,-48.4535,932.0,0.0,1.0
Paragorgia arborea,Cold-water coral reef,Present,60.3677,-48.4535,932.0,0.0,1.0
Primnoa resedaeformis,Cold-water coral reef,Present,60.3677,-48.4535,932.0,0.0,1.0
Placogorgia terceira,Unknown,Present,47.2,-5.53333,300.0,0.0,0.0
Acanthogorgia truncata,Unknown,Present,39.4361,-31.4333,914.0,0.0,0.0
Acanthogorgia truncata,Unknown,Present,37.675,-25.9667,914.0,0.0,0.0
Acanthogorgia truncata,Unknown,Present,38.5097,-28.5167,914.0,0.0,0.0
Thouarella variabilis,Unknown,Present,38.5917,-28.8333,435.0,0.0,0.0
Eunicella verrucosa,Unknown,Present,43.7,-7.9,435.0,0.0,0.0
Narella versluysi,Unknown,Present,47.695,-8.51,802.0,0.0,0.0
Narella versluysi,Unknown,Present,47.7,-8.51667,802.0,0.0,0.0
Narella versluysi,Unknown,Present,47.695,-8.51,802.0,0.0,0.0
Narella versluysi,Unknown,Present,37.9,-26.0,802.0,0.0,0.0
Narella versluysi,Unknown,Present,37.675,-25.9667,802.0,0.0,0.0
Narella versluysi,Unknown,Present,40.0833,-9.9,802.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.5817,-11.6367,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,37.5667,-29.1833,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.6667,-14.9,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.6833,-14.1833,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,58.742,-18.2245,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,37.6497,-14.25,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,37.5319,-14.23,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,37.0336,-14.22,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,37.3531,-14.22,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,37.2881,-14.21,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.3217,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.3236,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.3242,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.3442,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.5517,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.645,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.6658,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.7031,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.7583,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.78,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.7958,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.8008,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.8133,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,36.8911,-14.0,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,59.3202,-13.9526,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,59.3202,-13.9525,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,59.32,-13.9524,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,59.3192,-13.9524,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,46.6667,-5.91667,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,58.7069,-18.355,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,58.7069,-18.3549,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,59.1574,-17.1033,336.0,0.0,0.0
Callogorgia verticillata,Unknown,Present,59.319,-13.9524,336.0,0.0,0.0
Anthothela,Unknown,Present,58.7068,-18.489,435.0,0.0,0.0
Anthothela,Unknown,Present,58.7067,-18.4889,435.0,0.0,0.0
Calyptrophora,Unknown,Present,45.9833,-4.15,435.0,0.0,0.0
Alcyonacea,Unknown,Present,58.7261,-18.6567,1048.5,0.0015,0.0
Alcyonacea,Unknown,Present,58.7258,-18.6562,1048.5,0.0015,0.0
Alcyonacea,Unknown,Present,58.7252,-18.6552,1048.5,0.0015,0.0
Alcyonacea,Unknown,Present,58.725,-18.6552,1048.5,0.0015,0.0
Alcyonacea,Unknown,Present,58.7249,-18.6549,1048.5,0.0015,0.0
Chrysogorgia agassizi,Unknown,Present,47.5617,-9.0583,1813.0,0.0,0.0
Chrysogorgia agassizi,Unknown,Present,47.5417,-9.1933,1813.0,0.0,0.0
Chrysogorgia agassizi,Unknown,Present,47.5683,-8.675,1813.0,0.0,0.0
Chrysogorgia agassizi,Unknown,Present,47.5517,-9.0317,1813.0,0.0,0.0
Chrysogorgia agassizi,Unknown,Present,47.5417,-9.07,1813.0,0.0,0.0
Chrysogorgia agassizi,Unknown,Present,47.515,-8.9917,1813.0,0.0,0.0
Chrysogorgia agassizi,Unknown,Present,37.2333,-33.2667,1813.0,0.0,0.0
Chrysogorgia agassizi,Unknown,Present,37.0528,-33.0,1813.0,0.0,0.0
Chrysogorgia agassizi,Unknown,Present,53.9494,-13.0,1813.0,0.0,0.0
Paragorgia arborea,Unknown,Present,61.0833,-42.1833,932.0,0.0,0.0
Paragorgia arborea,Unknown,Present,58.5167,-31.5667,932.0,0.0,0.0
Paragorgia arborea,Unknown,Present,59.8333,-29.75,932.0,0.0,0.0
Paragorgia arborea,Unknown,Present,70.4,-22.8,932.0,0.0,0.0
Paragorgia arborea,Unknown,Present,60.8833,-10.3167,932.0,0.0,0.0
Paragorgia arborea,Unknown,Present,60.75,-9.5,932.0,0.0,0.0
Paragorgia arborea,Unknown,Present,61.3167,-8.86667,932.0,0.0,0.0
Paragorgia arborea,Unknown,Present,61.0667,-5.98333,932.0,0.0,0.0
Paragorgia arborea,Unknown,Present,61.0333,-5.86667,932.0,0.0,0.0
Paragorgia arborea,Unknown,Present,61.7167,-5.71667,932.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.45,-8.38333,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.4667,-8.35,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.4333,-8.31667,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.4833,-8.26667,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.55,-8.21667,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.85,-8.15,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.7333,-8.13333,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.7,-8.05,1250.0,0.0,0.0
Hicksonella,Unknown,Present,48.3167,-11.95,435.0,0.0,0.0
Acanella arbuscula,Unknown,Present,44.1167,-7.93333,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,44.0333,-7.11667,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,43.9833,-5.56667,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,43.6833,-3.83333,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,43.7667,-2.11667,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.4933,-9.075,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.5733,-8.6783,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,48.465,-9.7333,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,48.33,-9.63,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.845,-8.155,1250.0,0.0,0.0
Acanella arbuscula,Unknown,Present,47.45,-8.3817,1250.0,0.0,0.0
Anthomastus,Unknown,Present,58.7068,-18.4883,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.7068,-18.4883,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.7075,-18.3558,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.7067,-18.3546,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.8189,-17.9517,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.8003,-17.8334,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.8006,-17.8334,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.8005,-17.8334,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.8005,-17.8267,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.793,-17.8267,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.8005,-17.8266,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.8,-17.8266,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.7929,-17.8266,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.7928,-17.8266,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.7924,-17.8266,1750.0,0.0,0.0
Anthomastus,Unknown,Present,58.7924,-17.8266,1750.0,0.0,0.0
