Country,observedPropertyDeterminandLabel,phenomenonTimeReferenceYear,resultMeanValue
Finland,Nitrite,2009,0.0016
Bulgaria,Dissolved oxygen,2002,6.91
Finland,Nitrite,2010,0.0016
Bulgaria,Nitrite,2001,0.072
Finland,Dissolved oxygen,2004,8.93
Finland,Dissolved oxygen,2007,9.1
Finland,Dissolved oxygen,2003,8.5
Finland,Dissolved oxygen,2009,9.0
Finland,Dissolved oxygen,2011,9.3
Bulgaria,Nitrite,2002,0.002
Bulgaria,Nitrite,2004,0.003
Bulgaria,Nitrite,2001,0.01
Bulgaria,Nitrite,2000,0.026
Bulgaria,Nitrite,2000,0.002
Finland,Dissolved oxygen,2006,9.0
Bulgaria,Nitrite,2001,0.005
Bulgaria,Ammonium,2003,0.026
Bulgaria,Ammonium,2005,0.02
Bulgaria,Ammonium,2000,0.18
Bulgaria,Ammonium,2002,0.061
Bulgaria,Ammonium,2002,0.015
Bulgaria,Ammonium,2004,0.01
Bulgaria,Ammonium,2001,0.028
Bulgaria,Ammonium,2003,0.045
Bulgaria,Ammonium,2000,0.145
Bulgaria,Nitrate,2004,12.262
Bulgaria,Nitrate,2005,13.839
Finland,Nitrate,2007,0.02
Finland,Nitrate,2009,0.01
Finland,Ammonium,2008,0.0032
Finland,Ammonium,2010,0.0039
Bulgaria,Ammonium,2004,0.054
Finland,Nitrate,2008,0.01
Finland,Nitrate,2010,0.01
Bulgaria,Dissolved oxygen,2003,7.63
Bulgaria,Dissolved oxygen,2005,7.135
Finland,Ammonium,2003,0.0032
Bulgaria,Ammonium,2001,0.067
Finland,Ammonium,2007,0.0023
Finland,Nitrate,2004,0.04
Bulgaria,Nitrate,2001,61.124
Finland,Ammonium,2006,0.0045
Finland,Ammonium,2004,0.0013
Finland,Ammonium,2007,0.0013
Finland,Nitrate,2006,0.03
Bulgaria,Nitrate,2002,67.326
Belgium,Nitrate,2003,13.3501
Bulgaria,Nitrate,2005,16.201
Bulgaria,Nitrate,2002,10.335
Bulgaria,Nitrate,2003,12.853
Finland,Nitrate,2007,0.08
Finland,Nitrate,2001,6.109
Finland,Nitrate,2003,5.42
Bulgaria,Dissolved oxygen,2004,6.86
Finland,Nitrate,2003,0.43
Bulgaria,Nitrate,2002,62.733
Finland,Nitrate,2011,3.7
Finland,Nitrate,2006,6.31
Finland,Nitrate,2008,9.74
Finland,Dissolved oxygen,2010,9.1
Bulgaria,Nitrite,2000,0.093
Finland,Nitrate,2002,6.198
Finland,Nitrate,2004,6.09
Finland,Nitrate,2009,8.85
Belgium,Nitrate,2008,48.65
Belgium,Nitrate,2004,20.3861
Finland,Ammonium,2008,0.0013
Belgium,Ammonium,2008,0.125
Belgium,Ammonium,2004,0.0482
Belgium,Ammonium,2011,0.33
Bulgaria,Nitrite,2004,0.017
Bulgaria,Nitrite,2003,0.002
Belgium,Dissolved oxygen,2006,3.79
Bulgaria,Nitrate,2005,73.784
Bulgaria,Dissolved oxygen,2004,6.623
Bulgaria,Nitrite,2003,0.01
Bulgaria,Nitrite,2005,0.011
Belgium,Dissolved oxygen,2005,3.74
Belgium,Dissolved oxygen,2007,2.54
Finland,Ammonium,2011,0.003
Finland,Ammonium,2012,0.0026
Finland,Dissolved oxygen,2012,9.3
Bulgaria,Dissolved oxygen,2005,2.615
Bulgaria,Dissolved oxygen,2005,6.148
Bulgaria,Dissolved oxygen,2002,6.17
Finland,Ammonium,2009,0.0013
Bulgaria,Ammonium,2005,0.017
Finland,Ammonium,2011,0.002
Belgium,Ammonium,2012,0.21
Bulgaria,Ammonium,2001,0.155
Finland,Ammonium,2010,0.0013
Finland,Dissolved oxygen,2008,4.9
Finland,Dissolved oxygen,2010,7.68
Finland,Dissolved oxygen,2012,6.03
Belgium,Dissolved oxygen,2003,2.94
Belgium,Dissolved oxygen,2005,6.44
Finland,Dissolved oxygen,2007,5.07
Bulgaria,Dissolved oxygen,2003,7.625
Bulgaria,Dissolved oxygen,2004,7.663
Finland,Dissolved oxygen,2009,9.27
Finland,Dissolved oxygen,2011,9.58
Finland,Dissolved oxygen,2011,4.6
Belgium,Dissolved oxygen,2010,5.778
Belgium,Ammonium,2011,0.21
Belgium,Ammonium,2007,0.082
Belgium,Ammonium,2009,0.51
Bulgaria,Ammonium,2004,0.211
Finland,Ammonium,2006,0.0013
Belgium,Nitrate,2007,42.64
Belgium,Nitrate,2009,49.47
Belgium,Nitrate,2005,30.0
Bulgaria,Nitrate,2004,5.422
Bulgaria,Nitrate,2004,23.855
Belgium,Nitrite,2006,0.052
Bulgaria,Dissolved oxygen,2005,7.505
Finland,Dissolved oxygen,2010,5.12
Finland,Dissolved oxygen,2011,9.22
Finland,Dissolved oxygen,2010,5.9
Belgium,Dissolved oxygen,2007,5.17
Belgium,Dissolved oxygen,2009,4.76
Bulgaria,Nitrate,2001,6.777
Belgium,Ammonium,2010,0.2458
Belgium,Ammonium,2012,0.19
Belgium,Ammonium,2008,0.065
Belgium,Ammonium,2010,0.2952
Bulgaria,Ammonium,2005,0.248
Finland,Dissolved oxygen,2012,6.32
Bulgaria,Nitrite,2003,0.102
Bulgaria,Nitrite,2004,0.104
Bulgaria,Nitrite,2002,0.062
Finland,Dissolved oxygen,2008,9.32
Finland,Dissolved oxygen,2009,8.0
Belgium,Dissolved oxygen,2004,6.7509
Belgium,Dissolved oxygen,2006,6.18
Belgium,Nitrite,2005,0.055
Finland,Dissolved oxygen,2004,5.63
Finland,Dissolved oxygen,2010,9.4
Finland,Dissolved oxygen,2011,0.5
Belgium,Dissolved oxygen,2011,4.76
Belgium,Dissolved oxygen,2005,3.4
Belgium,Ammonium,2004,0.1321
Belgium,Ammonium,2005,0.149
Bulgaria,Dissolved oxygen,2001,5.9
Bulgaria,Dissolved oxygen,2002,3.362
Belgium,Dissolved oxygen,2009,2.94
Belgium,Dissolved oxygen,2010,2.7345
Bulgaria,Ammonium,2002,0.215
Bulgaria,Ammonium,2002,0.13
Finland,Nitrate,2000,1.25
Finland,Nitrate,2012,2.47
Bulgaria,Dissolved oxygen,2002,5.467
Bulgaria,Nitrite,2001,0.012
Belgium,Nitrate,2004,30.962
Belgium,Nitrate,2005,47.56
Bulgaria,Nitrate,2000,10.553
Finland,Dissolved oxygen,2012,9.1
Belgium,Nitrate,2012,43.49
Belgium,Nitrate,2008,31.78
Bulgaria,Ammonium,2001,0.149
Bulgaria,Ammonium,2003,0.105
Bulgaria,Nitrate,2000,66.416
Finland,Nitrate,2006,0.09
Bulgaria,Nitrate,2003,10.606
Finland,Nitrate,2010,2.95
Finland,Nitrate,2007,9.41
Belgium,Nitrate,2011,42.86
Belgium,Nitrate,2009,34.25
Belgium,Nitrate,2011,33.21
Belgium,Nitrate,2003,102.99
Belgium,Nitrate,2005,72.77
Belgium,Nitrate,2007,30.87
Belgium,Nitrate,2007,68.43
Belgium,Nitrate,2009,69.84
Belgium,Nitrate,2011,71.79
Bulgaria,Nitrite,2005,0.005
Bulgaria,Nitrite,2002,0.01
Bulgaria,Nitrate,2003,61.42
Bulgaria,Nitrate,2004,65.089
Finland,Nitrate,2001,0.0947
Finland,Nitrate,2002,0.1094
Bulgaria,Nitrate,2003,21.79
Belgium,Nitrate,2012,64.62
Belgium,Nitrate,2005,12.01
Bulgaria,Nitrate,2000,14.51
Belgium,Dissolved oxygen,2006,2.94
Belgium,Nitrite,2006,0.053
Belgium,Dissolved oxygen,2004,2.7707
Belgium,Dissolved oxygen,2011,1.17
Bulgaria,Dissolved oxygen,2004,10.2
Belgium,Nitrate,2007,13.66
Belgium,Nitrate,2009,25.83
Bulgaria,Nitrate,2004,18.373
Bulgaria,Nitrate,2000,32.228
Bulgaria,Nitrate,2002,42.644
Belgium,Dissolved oxygen,2007,2.68
Bulgaria,Dissolved oxygen,2003,7.26
Bulgaria,Nitrite,2002,1.122
Belgium,Nitrite,2010,0.031
Belgium,Dissolved oxygen,2004,5.4972
Finland,Nitrate,2003,0.12
Finland,Nitrate,2004,0.11
Belgium,Nitrate,2003,1.8816
Belgium,Dissolved oxygen,2004,3.3764
Bulgaria,Dissolved oxygen,2004,2.4
Belgium,Nitrite,2004,0.0463
Bulgaria,Dissolved oxygen,2005,9.35
Bulgaria,Dissolved oxygen,2001,3.69
Bulgaria,Ammonium,2005,0.087
Belgium,Ammonium,2006,3.356
Belgium,Ammonium,2009,2.681
Belgium,Ammonium,2010,3.1
Bulgaria,Ammonium,2004,0.152
Belgium,Nitrate,2010,41.94
Belgium,Nitrate,2006,32.03
Bulgaria,Nitrate,2005,30.73
Finland,Ammonium,2012,0.0013
Belgium,Ammonium,2011,0.22
Belgium,Ammonium,2006,0.131
Belgium,Ammonium,2006,0.061
Bulgaria,Ammonium,2000,0.358
Belgium,Dissolved oxygen,2008,2.32
Belgium,Dissolved oxygen,2011,2.75
Belgium,Dissolved oxygen,2012,2.62
Bulgaria,Dissolved oxygen,2001,5.18
Bulgaria,Nitrite,2000,0.013
Belgium,Nitrate,2004,5.1743
Belgium,Nitrate,2011,13.96
Belgium,Nitrate,2012,10.41
Bulgaria,Ammonium,2001,0.001
Belgium,Nitrate,2008,70.27
Bulgaria,Nitrate,2000,26.35
Finland,Nitrate,2000,0.0952
Finland,Nitrate,2008,0.08
Belgium,Dissolved oxygen,2009,2.9
Belgium,Dissolved oxygen,2010,4.3633
Belgium,Nitrite,2009,0.173
Belgium,Nitrite,2010,0.114
Belgium,Dissolved oxygen,2007,1.32
Belgium,Dissolved oxygen,2008,0.89
Bulgaria,Nitrite,2004,0.026
Belgium,Nitrite,2006,0.063
Finland,Nitrate,2010,0.09
Finland,Nitrate,2012,0.06
Belgium,Nitrate,2003,5.2233
Bulgaria,Nitrite,2001,0.009
Bulgaria,Dissolved oxygen,2003,4.39
Finland,Nitrite,2012,0.0033
Belgium,Nitrite,2008,0.056
Belgium,Nitrite,2010,0.033
Bulgaria,Dissolved oxygen,2001,4.733
Bulgaria,Dissolved oxygen,2003,3.45
Bulgaria,Nitrite,2005,0.095
Belgium,Nitrate,2006,45.19
Belgium,Dissolved oxygen,2009,0.61
Belgium,Dissolved oxygen,2011,1.29
Bulgaria,Nitrite,2004,0.016
Belgium,Nitrite,2004,0.2692
Bulgaria,Dissolved oxygen,2005,6.862
Finland,Ammonium,2009,0.0013
Finland,Ammonium,2010,0.0013
Bulgaria,Nitrite,2004,0.112
Bulgaria,Nitrite,2005,0.016
Finland,Nitrite,2011,0.002
Finland,Nitrite,2012,0.0016
Bulgaria,Nitrate,2000,8.229
Finland,Nitrite,2010,0.0033
Belgium,Nitrite,2009,0.043
Belgium,Nitrite,2011,0.031
Belgium,Dissolved oxygen,2006,2.28
Belgium,Dissolved oxygen,2008,0.84
Bulgaria,Ammonium,2003,0.101
Bulgaria,Ammonium,2004,0.327
Bulgaria,Nitrite,2005,0.012
Bulgaria,Nitrite,2000,0.009
Bulgaria,Dissolved oxygen,2003,5.4
Belgium,Dissolved oxygen,2011,0.23
Belgium,Dissolved oxygen,2008,6.44
Belgium,Nitrite,2008,0.033
Belgium,Dissolved oxygen,2008,3.74
Bulgaria,Dissolved oxygen,2002,8.938
Belgium,Nitrite,2004,0.0225
Belgium,Dissolved oxygen,2009,1.1
Bulgaria,Nitrite,2003,0.019
Bulgaria,Ammonium,2004,0.076
Bulgaria,Ammonium,2005,0.024
Bulgaria,Ammonium,2004,0.471
Bulgaria,Ammonium,2005,0.452
Belgium,Ammonium,2007,3.182
Belgium,Ammonium,2008,3.104
Bulgaria,Ammonium,2003,0.432
Bulgaria,Dissolved oxygen,2004,5.525
Bulgaria,Dissolved oxygen,2001,4.667
Belgium,Nitrate,2005,6.58
Finland,Nitrate,2008,0.82
Finland,Nitrate,2010,0.74
Bulgaria,Nitrate,2001,57.438
Bulgaria,Nitrate,2005,8.208
Belgium,Nitrate,2008,12.41
Belgium,Nitrate,2007,5.3
Hungary,Ammonium,2004,1.0628
Bulgaria,Ammonium,2005,0.344
Finland,Ammonium,2011,0.001
Bulgaria,Nitrate,2002,15.45
Belgium,Nitrate,2006,4.27
Belgium,Nitrate,2010,10.26
Bulgaria,Nitrate,2004,36.908
Belgium,Nitrate,2010,31.43
Belgium,Nitrate,2012,34.04
Belgium,Nitrate,2004,53.1516
Belgium,Nitrate,2006,70.97
Finland,Nitrate,2011,0.08
Belgium,Nitrite,2005,0.044
Belgium,Nitrite,2012,0.086
Belgium,Dissolved oxygen,2003,2.13
Belgium,Dissolved oxygen,2012,4.98
Belgium,Nitrite,2011,0.038
Belgium,Nitrite,2012,0.07
Belgium,Dissolved oxygen,2011,3.13
Belgium,Dissolved oxygen,2012,2.8
Belgium,Nitrite,2008,0.026
Belgium,Nitrite,2011,0.098
Belgium,Dissolved oxygen,2005,1.61
Bulgaria,Nitrite,2003,0.003
Belgium,Nitrate,2004,14.77
Finland,Nitrate,2007,0.53
Belgium,Dissolved oxygen,2006,0.7
Bulgaria,Nitrite,2002,0.033
Belgium,Nitrite,2007,0.035
Bulgaria,Dissolved oxygen,2005,2.975
Bulgaria,Nitrite,2005,0.054
Belgium,Dissolved oxygen,2007,0.94
Bulgaria,Dissolved oxygen,2002,3.5
Bulgaria,Dissolved oxygen,2004,1.45
Belgium,Dissolved oxygen,2006,2.27
Belgium,Nitrite,2003,0.1294
Belgium,Dissolved oxygen,2010,0.9014
Bulgaria,Dissolved oxygen,2001,7.785
Bulgaria,Dissolved oxygen,2002,5.525
Bulgaria,Dissolved oxygen,2005,5.925
Belgium,Dissolved oxygen,2005,0.93
Belgium,Dissolved oxygen,2006,0.97
Belgium,Nitrite,2003,0.11
Belgium,Nitrite,2005,0.172
Finland,Nitrate,2009,1.02
Belgium,Nitrate,2010,74.35
Bulgaria,Nitrate,2005,0.081
Bulgaria,Nitrate,2005,20.38
Belgium,Nitrate,2009,5.15
Finland,Nitrate,2000,6.817
Bulgaria,Nitrate,2003,37.996
Bulgaria,Nitrate,2000,5.622
Bulgaria,Nitrate,2005,9.513
Bulgaria,Nitrate,2005,36.888
Bulgaria,Nitrate,2001,14.316
Bulgaria,Nitrate,2004,11.9
Belgium,Nitrate,2012,3.2
Bulgaria,Nitrate,2001,25.35
Bulgaria,Nitrate,2000,102.488
Belgium,Dissolved oxygen,2012,1.49
Belgium,Dissolved oxygen,2010,2.5
Belgium,Dissolved oxygen,2012,0.75
Belgium,Dissolved oxygen,2005,3.23
Bulgaria,Nitrate,2002,11.6
Belgium,Nitrate,2006,15.09
Bulgaria,Nitrate,2001,28.669
Bulgaria,Nitrate,2002,37.074
Belgium,Nitrate,2007,35.48
Bulgaria,Nitrate,2001,13.35
Finland,Nitrate,2009,0.06
Bulgaria,Nitrate,2001,49.308
Bulgaria,Nitrate,2003,35.25
Finland,Nitrate,2011,0.87
Belgium,Dissolved oxygen,2007,2.32
Bulgaria,Nitrite,2001,0.024
Bulgaria,Nitrite,2003,0.024
Bulgaria,Nitrite,2005,0.003
Belgium,Nitrate,2008,28.41
Belgium,Nitrate,2010,37.76
Belgium,Nitrate,2006,49.98
Bulgaria,Dissolved oxygen,2003,4.833
Hungary,Ammonium,2001,1.0576
Bulgaria,Ammonium,2000,0.097
Belgium,Ammonium,2004,1.8558
Belgium,Ammonium,2011,2.92
Bulgaria,Ammonium,2003,0.007
Finland,Nitrate,2010,13.16
Bulgaria,Ammonium,2000,0.06
Hungary,Ammonium,2003,1.0063
Hungary,Ammonium,2005,1.0942
Belgium,Ammonium,2008,0.3
Belgium,Ammonium,2012,0.16
Belgium,Ammonium,2007,0.14
Belgium,Ammonium,2009,0.167
Belgium,Ammonium,2005,0.077
Belgium,Ammonium,2012,0.29
