VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Geography and population,"Economy, development and food security",GDP per capita,Afghanistan,2015,554.004007,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Afghanistan,2016,526.164709,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Afghanistan,2017,534.020133,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Afghanistan,2018,513.981256,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Afghanistan,2019,512.910125,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Afghanistan,2020,512.74993,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Afghanistan,2021,378.082892,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Afghanistan,2022,344.649112,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Albania,2015,3950.390255,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Albania,2016,4117.00697,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Albania,2017,4521.752217,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Albania,2018,5268.116608,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Albania,2019,5359.239078,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Albania,2020,5288.989573,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Albania,2021,6281.046775,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Albania,2022,6655.258391,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Algeria,2015,4197.417286,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Algeria,2016,3967.200546,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Algeria,2017,4134.936055,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Algeria,2018,4171.795392,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Algeria,2019,4021.983602,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Algeria,2020,3354.157303,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Algeria,2021,3700.320562,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Algeria,2022,4273.922183,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Andorra,2015,38869.870777,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Andorra,2016,39904.138181,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Andorra,2017,40632.206416,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Andorra,2018,42904.822583,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Andorra,2019,41328.634079,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Andorra,2020,37207.175636,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Andorra,2021,42065.970756,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Andorra,2022,42293.297081,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Angola,2015,4130.93008,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Angola,2016,3468.520268,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Angola,2017,4042.681382,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Angola,2018,3240.862207,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Angola,2019,2569.629757,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Angola,2020,1639.951023,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Angola,2021,2026.030952,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Angola,2022,3183.699796,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Antigua and Barbuda,2015,14861.882707,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Antigua and Barbuda,2016,15862.651663,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Antigua and Barbuda,2017,16110.3124,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Antigua and Barbuda,2018,17514.355864,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Antigua and Barbuda,2019,18187.779712,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Antigua and Barbuda,2020,15303.278112,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Antigua and Barbuda,2021,16740.348196,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Antigua and Barbuda,2022,18880.028883,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Argentina,2015,14908.621297,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Argentina,2016,12767.455354,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Argentina,2017,14609.78337,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Argentina,2018,11816.649537,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Argentina,2019,10006.693111,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Argentina,2020,8565.153126,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Argentina,2021,10775.999836,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Argentina,2022,13867.913268,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Armenia,2015,3666.141825,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Armenia,2016,3679.952349,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Armenia,2017,4041.995072,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Armenia,2018,4391.923274,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Armenia,2019,4828.504889,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Armenia,2020,4505.867746,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Armenia,2021,4972.786412,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Armenia,2022,7018.113045,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Australia,2015,52321.003543,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Australia,2016,54054.216565,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Australia,2017,57489.804356,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Australia,2018,58327.726542,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Australia,2019,54407.644621,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Australia,2020,56001.553064,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Australia,2021,67616.301208,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Australia,2022,67866.792484,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Austria,2015,44179.468449,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Austria,2016,45277.769467,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Austria,2017,47429.535841,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Austria,2018,51466.603137,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Austria,2019,50067.472961,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Austria,2020,48839.268984,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Austria,2021,53720.125274,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Austria,2022,52608.760637,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Azerbaijan,2015,5381.087076,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Azerbaijan,2016,3795.716288,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Azerbaijan,2017,4057.624007,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Azerbaijan,2018,4640.470544,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Azerbaijan,2019,4707.846979,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Azerbaijan,2020,4151.016373,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Azerbaijan,2021,5316.149936,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Azerbaijan,2022,7599.970692,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahamas,2015,29821.354971,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahamas,2016,30124.376154,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahamas,2017,31303.530973,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahamas,2018,32400.956691,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahamas,2019,33564.695734,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahamas,2020,23998.168238,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahamas,2021,28260.367048,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahamas,2022,31458.354292,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahrain,2015,22795.370758,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahrain,2016,22867.275453,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahrain,2017,24349.836847,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahrain,2018,25415.750065,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahrain,2019,25869.206182,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahrain,2020,23433.491494,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahrain,2021,26860.074554,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bahrain,2022,30146.509534,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bangladesh,2015,1449.562923,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bangladesh,2016,1651.719965,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bangladesh,2017,1785.836613,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bangladesh,2018,1931.478758,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bangladesh,2019,2110.916696,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bangladesh,2020,2230.583106,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bangladesh,2021,2449.024978,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Bangladesh,2022,2527.52127,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Barbados,2015,17023.694365,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Barbados,2016,17381.365087,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Barbados,2017,17881.563253,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Barbados,2018,18271.252253,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Barbados,2019,19063.102291,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Barbados,2020,16882.501523,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Barbados,2021,17507.467994,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Barbados,2022,20238.784242,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Belarus,2015,5819.714592,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Belarus,2016,4915.843487,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Belarus,2017,5637.218192,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Belarus,2018,6191.589766,current US$/inhab,X,false
Geography and population,"Economy, development and food security",GDP per capita,Belarus,2019,6658.08905,current US$/inhab,X,false
