year,val,lower,upper
1980,99.86679453987698,99.61367747217562,100.11244612827988
1981,97.50558254665822,97.22429040580091,97.76638331540748
1982,95.16764351061863,94.89665773681743,95.42238390890421
1983,92.81303748202997,92.52286117257493,93.07053292575822
1984,90.43892363161844,90.16990481893619,90.71872427911894
1985,87.83102850313234,87.56910884826848,88.11148167992825
1986,85.24578144958487,84.99969254084323,85.52441313689033
1987,82.64386740394214,82.39287346606946,82.9148496686568
1988,80.02390176772252,79.77796325648103,80.2840700891678
1989,77.41557845829146,77.16134809677531,77.6791099088489
1990,75.23644138315886,74.95423807518945,75.52207089378749
1991,73.07845198106227,72.81089592293014,73.33686520148542
1992,70.90241098838344,70.661363746235,71.1706612084546
1993,68.73835429513193,68.47950520846621,69.0106095147192
1994,66.59703188333654,66.3539639582828,66.86093617045259
1995,64.43831977752662,64.17830644775853,64.70257463390764
1996,61.99862108095004,61.75074004665613,62.25930921150247
1997,59.570184334624614,59.286518159413504,59.8190782954493
1998,57.16520421579514,56.8968767335642,57.42084286832508
1999,54.743557102682274,54.47560938397299,55.01416715382371
2000,52.304243133618236,52.03214329958906,52.56647233004186
2001,50.29565010343282,50.03089628760368,50.54261651702926
2002,48.30936659213675,48.049845347442734,48.546738137265855
2003,46.716405418205746,46.450826803291385,46.97317802875373
2004,45.106759305070085,44.85197153884975,45.37240274994135
2005,43.51113613820854,43.23859266137444,43.771817173246724
2006,41.936694157285075,41.6629356934659,42.17794710705966
2007,40.34558517957844,40.07749052596715,40.60220297952519
2008,38.73446601314313,38.46652221778048,38.99659695799113
2009,36.77549440496537,36.50884111758121,37.05607682330651
2010,34.83865729146023,34.57870476107654,35.103331290458065
2011,32.88515318540926,32.63793891669319,33.14697831851659
2012,30.913597490411746,30.641391021649586,31.18722313254751
2013,29.535640513606936,29.297833548212253,29.789065033667566
2014,28.178270006370155,27.910530321214427,28.431705574135847
2015,26.80423250658876,26.54059292208265,27.073605015386363
2016,25.412143416220545,25.155390460055187,25.69835998609186
2017,24.034186439413617,23.790450673476002,24.3013597058184
2018,22.676815932180148,22.432005405691328,22.93282741964634
2019,21.302778432408772,21.016389141308217,21.563819238516498
2020,19.910689342035297,19.653846590790344,20.16171081483279
2021,18.532732365230885,18.277137739092293,18.786641417590808
2021,17.06679663744005,16.787911959793917,17.34557496526016
2022,15.612211832370761,15.294925233141692,16.005218667606492
2023,14.134019343910822,13.67254680460714,14.65706418534732
2024,12.99770509399633,12.31659891560055,13.771049353540388
2025,11.56534256325655,10.619418708954335,12.642161772539406
2026,10.110757758174913,8.836449421286467,11.475162986265538
2027,8.632565269711577,7.015692682934456,10.281482987497414
2028,7.4962510198111545,5.49515983875873,9.441169952413295
2029,6.063888489069953,3.730745998043462,8.552191920776206
2030,4.609303684003251,1.8396224766732794,7.314283436593069
