measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44559,Africa,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1980,98.650336507233,109.52245147273888,87.49831789812602
1,Deaths,44560,America,3,Both,27,Age-standardized,294,All causes,3,Rate,1980,923.29291941171,933.168965531143,913.6550344140395
1,Deaths,44560,America,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1980,33.678220435580755,36.85046687670516,30.691215738422457
1,Deaths,44560,America,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1980,51.5812408095618,54.07644976900332,48.789574941410024
1,Deaths,239,East Asia & Pacific - WB,3,Both,27,Age-standardized,294,All causes,3,Rate,1982,1239.772376024554,1326.2708961603269,1156.8302715437565
1,Deaths,239,East Asia & Pacific - WB,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1982,49.141476014946996,71.15299978350177,31.08785817543473
1,Deaths,239,East Asia & Pacific - WB,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1982,68.94074256437884,75.95668417251463,62.133871688007225
1,Deaths,239,East Asia & Pacific - WB,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1982,403.55150574798904,441.93916710285293,366.5492282233514
1,Deaths,120,Andean Latin America,3,Both,27,Age-standardized,294,All causes,3,Rate,1982,1042.993907443409,1103.4952276511983,983.0007783380486
1,Deaths,120,Andean Latin America,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1982,211.69728998023402,231.74024248374215,193.72089218143532
1,Deaths,44560,America,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1980,348.46996656520923,361.11466281157203,323.48651537991117
1,Deaths,21,Oceania,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1982,98.30933401143189,123.98644181743524,75.07313067854982
1,Deaths,263,Western Africa,3,Both,27,Age-standardized,294,All causes,3,Rate,1981,1733.7232511956277,1852.865549261257,1621.5711679859212
1,Deaths,263,Western Africa,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1981,218.74990719908848,306.50943613380565,143.70087072147373
1,Deaths,239,East Asia & Pacific - WB,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1982,175.2465617607914,194.50815049481884,156.78428175815313
1,Deaths,44537,Commonwealth Low Income,3,Both,27,Age-standardized,294,All causes,3,Rate,1981,1650.0889749434796,1790.3928068199282,1516.2039889696075
1,Deaths,44537,Commonwealth Low Income,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1981,162.8920673236623,216.2584683570723,107.14839277402004
1,Deaths,263,Western Africa,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1981,162.19427004435667,185.73499707088746,139.5783134985131
1,Deaths,5,East Asia,3,Both,27,Age-standardized,294,All causes,3,Rate,1980,1397.451893380851,1543.4293326337265,1262.3964787965483
1,Deaths,5,East Asia,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1980,17.290200089051204,22.68944131717099,11.989117583782585
1,Deaths,56,Eastern Europe,3,Both,27,Age-standardized,294,All causes,3,Rate,1980,1081.4393911662662,1084.8967532966626,1078.030271581834
1,Deaths,138,North Africa and Middle East,3,Both,27,Age-standardized,294,All causes,3,Rate,1982,1352.1535740355946,1451.9334493398337,1284.3601904031116
1,Deaths,104,Caribbean,3,Both,27,Age-standardized,294,All causes,3,Rate,1982,1051.8997716176016,1089.6485984915244,1015.9308458556615
1,Deaths,104,Caribbean,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1982,42.23583676054119,50.154765819233816,33.611238481179775
1,Deaths,70,Australasia,3,Both,27,Age-standardized,294,All causes,3,Rate,1980,779.3701936164982,783.7401090492892,775.1396260381109
1,Deaths,70,Australasia,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1980,0.7283957125159828,0.790070926206582,0.6563365874625801
1,Deaths,263,Western Africa,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1981,78.76684967781108,93.41027216800931,64.17487593257901
1,Deaths,96,Southern Latin America,3,Both,27,Age-standardized,294,All causes,3,Rate,1981,920.6184704477441,923.9204474750854,917.3607446204587
1,Deaths,96,Southern Latin America,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1981,7.694753781277967,8.112797583593977,7.2127208333559425
1,Deaths,96,Southern Latin America,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1981,33.7831830415861,35.14418620179175,32.01999540942207
1,Deaths,5,East Asia,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1980,469.0042938489396,528.7678318688596,413.06813413688
1,Deaths,138,North Africa and Middle East,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1982,39.45120946214034,48.121976620832875,31.12584348767298
1,Deaths,138,North Africa and Middle East,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1982,75.83188032825048,89.93099097054457,67.27129426178706
1,Deaths,138,North Africa and Middle East,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1982,539.7853630078309,580.3589844374358,486.05214773113886
1,Deaths,56,Eastern Europe,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1980,2.1455757687156574,2.2738701121908225,2.0352849779052775
1,Deaths,56,Eastern Europe,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1980,23.617912943087127,24.367871151870613,22.91375311226076
1,Deaths,56,Eastern Europe,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1980,596.6487449488457,610.41595230904,566.5448110046116
1,Deaths,70,Australasia,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1980,19.281464201966763,20.689079344818282,17.365020751663288
1,Deaths,70,Australasia,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1980,385.3810054571463,399.3377545567339,360.0465945106471
1,Deaths,167,Central Sub-Saharan Africa,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1980,193.33951336863836,277.8059412974543,134.7047993881575
1,Deaths,167,Central Sub-Saharan Africa,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1980,184.85392888504717,228.14587540418646,151.43394577527602
1,Deaths,96,Southern Latin America,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1981,392.0161126182962,403.213850951496,371.4163387795424
1,Deaths,73,Western Europe,3,Both,27,Age-standardized,294,All causes,3,Rate,1982,782.2902913362694,783.8099205940101,780.7978241141211
1,Deaths,73,Western Europe,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1982,0.6974332953076031,0.7355481307277317,0.6413342883308129
1,Deaths,44537,Commonwealth Low Income,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1981,123.20675683532082,137.9263363137082,110.85663061804019
1,Deaths,44537,Commonwealth Low Income,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1981,345.30537356706594,395.99235882815094,295.6344382673247
1,Deaths,248,Eastern Africa,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1981,382.42731246918083,415.97192925231025,347.60822469407196
1,Deaths,44562,Europe,3,Both,27,Age-standardized,294,All causes,3,Rate,1980,958.505462702951,965.9967715741068,951.4489588843398
1,Deaths,44562,Europe,3,Both,27,Age-standardized,302,Diarrheal diseases,3,Rate,1980,4.568700647350366,5.852945120759242,3.6678082455216967
1,Deaths,104,Caribbean,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1982,73.5413270926589,80.60621277099735,67.1428440478621
1,Deaths,104,Caribbean,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1982,388.0627732092759,406.0605683862256,367.63918751146616
1,Deaths,73,Western Europe,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1982,351.17762113715827,363.55378765283706,324.8836298935947
1,Deaths,243,Middle East & North Africa - WB,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1982,68.53604380372424,79.01043999251021,60.86488540252096
1,Deaths,44562,Europe,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1980,39.99653382044346,43.605250279478476,37.392434520298316
1,Deaths,44562,Europe,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1980,453.3118420037246,465.84942320660156,426.0497295189615
1,Deaths,96,Southern Latin America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1981,175.1233846976806,181.88336964394395,167.7567407764362
1,Deaths,124,Central Latin America,3,Both,27,Age-standardized,294,All causes,3,Rate,1982,1019.103117791444,1034.7884684556664,1006.7448384210363
1,Deaths,134,Tropical Latin America,3,Both,27,Age-standardized,322,Lower respiratory infections,3,Rate,1980,63.86491344641189,69.03735524811871,59.21879361869657
1,Deaths,95469,Limited Health System,3,Both,27,Age-standardized,294,All causes,3,Rate,1980,1657.108875314442,1722.2767663490251,1596.8001696387469
