StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q4,Q6,Q7,Q8,Q9,Q9_14_TEXT,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16,Q17,Q18,Q20_1,Q21,Q22,Q23,Q24,Q25_1,Q26,Q27,Q28,Q29,Q24 - Parent Topics,Q24 - Topics,Q9_14_TEXT - Parent Topics,Q9_14_TEXT - Topics,Q_UnansweredPercentage,Q_UnansweredQuestions,Q24 - Topic Hierarchy Level 1,Q9_14_TEXT - Topic Hierarchy Level 1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Introduction

This study is conducted by student researchers in Computational Social Science at the University of Amsterdam (UvA) and in partnership with the Municipality of Amsterdam. 

 

Goal of the study 

The aim of the study is to develop an interactive website focusing on water ecology management across global cities, providing accessible knowledge to a broad audience. The information gathered in this survey is needed to assess the level of awareness of the general public regarding water quality management within their city and globally. 

 

Procedure of the study 

If you agree to participate, you will be asked to take part in a survey. You will be asked several multiple-choice questions or statements. For each question or statement, you can indicate the extent to which you agree or disagree with something, or indicate which answer you think applies the most. There is also one open-ended question. We ask questions about your knowledge of water quality issues and your interest and preferences for a digital intervention regarding water management worldwide. 

 

Voluntary Participation 

Your participation in this study is voluntary: you are not obliged to participate. You may decide to stop your participation at any time during the study. 

 

Privacy 

Your responses will be kept confidential. All data will be securely stored and only accessible to the research team and directly relevant UvA instructors. No identifying information will be gathered through this survey; all data is anonymous. 

 

We use some third-party software to store and process your data. UvA has contracts with these parties to guarantee your privacy: 


	Your data will be securely stored with Microsoft OneDrive and/or Canvas.
	Your data will be processed by Qualtrics to store data, analyze data, collaborate, manage questionnaires, etc.

Further Information 

If you have any questions about the study, either before you participate or afterwards, please feel free to contact the responsible researcher: Célia Meissner, celia.meissner@student.uva.nl .



If you have any formal complaints about this research, please send an email to the UvA staff member supervising this project: Regina Nockerts, r.a.nockerts@uva.nl. The staff member that approved the study will consider your complaint and contact you as soon as possible.



Declaration of consent

With this you declare:

	I am 16 years or older.
	I have read and understood the information.
	I agree to participate in the study and to use the data obtained with it.
	I reserve the right to withdraw this consent without giving any reason.
	I reserve the right to stop the study at any time I wish.","To participate in the survey, click on ‘Yes’ below.","Demographics

What is your age?",List of Countries,What is the highest level of education you have completed or are currently completing?,"Do you live in an urban, suburban, or rural area?",Which of the following best describes your current field of occupation? - Selected Choice,"Which of the following best describes your current field of occupation? - Other, please specify... - Text","General Awareness of Water Quality


The following questions are designed to assess general awareness of water quality and its management worldwide. Don’t worry if you’re unsure about some of your answers. This survey is meant to highlight important issues, and every response helps us understand what information is most needed. 



How would you rate your general knowledge of water quality issues in your city?",Do you believe water pollution is a serious issue in your country?,Are you aware of anything related to water quality in your city?,"In 2022, how many people did not have access to safely managed drinking water services?",What are some potential health implications that poor water quality can have? (Select all that apply),"Rank the following sources of oceanic pollution from most to least impactful based on their contribution to marine debris (1 being the most impactful, 5 the least). - Industrial waste","Rank the following sources of oceanic pollution from most to least impactful based on their contribution to marine debris (1 being the most impactful, 5 the least). - Sewage and Wastewater","Rank the following sources of oceanic pollution from most to least impactful based on their contribution to marine debris (1 being the most impactful, 5 the least). - Marine dumping of garbage","Rank the following sources of oceanic pollution from most to least impactful based on their contribution to marine debris (1 being the most impactful, 5 the least). - Global warming","Rank the following sources of oceanic pollution from most to least impactful based on their contribution to marine debris (1 being the most impactful, 5 the least). - Agriculture","Rank the following sources of oceanic pollution from most to least impactful based on their contribution to marine debris (1 being the most impactful, 5 the least). - Oil leaks and spills","How much attention do you pay to news stories on water pollution, accidents, or others that are reported on TV, on the radio, in newspapers, on social media, or elsewhere?",How do you usually get information about environmental or sustainability issues? (Select all that apply),Have you ever heard of “Urban Aquatic Ecosystems” before this survey?,"Behaviour and Interest

The following questions are about your behavior and interest in water management and conservation.


On a scale from 1-10 indicate how interested you are in water quality management within your city. (10 being extremely interested, and 0 being not interested at all.) - Interest",Have you participated in any activity related to water conservation or cleanup?,Would you be interested in learning more about how your city manages its water quality?,Would you be interested in learning more about how to improve water quality within your community?,What topics would you like to learn more about regarding water quality?,"Platform Preferences
The following questions are about your personal preferences for a digital platform exploring water quality management in global cities. If you are not interested in such a platform, you can skip to the end of the survey.


If a digital platform existed to explore water quality projects and urban aquatic ecosystems, how likely would you visit it? (10 being extremely interested, and 0 being not interested at all.) - Likelihood",What features would you find most useful in a water-quality platform (Select up to 3)?,Would you be interested in contributing content to such a platform?,Would you be interested in connecting with other like-minded individuals interested within the topic of “Urban Underwater ecosystems”?,What motivates you to engage with environmental causes?,Q24 - Parent Topics,Q24 - Topics,Q9_14_TEXT - Parent Topics,Q9_14_TEXT - Topics,Q_UnansweredPercentage,Q_UnansweredQuestions,Q24 - Topic Hierarchy Level 1,Q9_14_TEXT - Topic Hierarchy Level 1
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_14_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID24_TEXT_793ea05a_cl6xuepgwd10ParTopics""}","{""ImportId"":""QID24_TEXT_793ea05a_cl6xuepgwd10Topics""}","{""ImportId"":""QID9_14_TEXT_793ea05a_2ihfdjzyz5rtParTopics""}","{""ImportId"":""QID9_14_TEXT_793ea05a_2ihfdjzyz5rtTopics""}","{""ImportId"":""Q_UnansweredPercentage""}","{""ImportId"":""Q_UnansweredQuestions""}","{""ImportId"":""QID24_TEXT_793ea05a_cl6xuepgwd10TopicHierarchy1""}","{""ImportId"":""QID9_14_TEXT_793ea05a_2ihfdjzyz5rtTopicHierarchy1""}"
2025-03-26 04:52:50,2025-03-26 04:54:13,Survey Preview,,100,82,True,2025-03-26 04:54:13,R_237pJQmFETGe1Ev,,,,,52.36,4.8084,preview,EN,,,Yes,55 - 64,Bahrain,Secondary education,Urban,Science,,Neutral,Somewhat serious,"Yes, I am very aware of the city’s water quality and management",1.5 billion,I am unsure.,1,2,3,4,5,6,A lot,TV/radio,Yes,,No,Maybe,Maybe,,6,Forums for public discussion,No,Maybe,Local impact,,,,,0.11538461538461539,"QID1,QID20,QID24",,
2025-03-27 04:25:42,2025-03-27 04:28:21,Survey Preview,,100,159,True,2025-03-27 04:28:21,R_2QMNx2GRcNOAU6F,,,,,52.36,4.8084,preview,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Rural,Student,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,4,6,2,5,Somewhat,"Social media,News websites,Word of mouth",Yes,61,Yes,Maybe,"Yes, definitely",,6,"Educational information,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,Local impact,,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 04:59:48,2025-03-27 05:04:45,IP Address,109.53.203.138,100,297,True,2025-03-27 05:04:46,R_8mgQmsyvonQGRel,,,,,45.0729,7.689,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Italy,Master’s degree or higher,Suburban,Tourism and Hospitality,,Neutral,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,1,5,6,4,Somewhat,"Social media,TV/radio",No,5,No,Maybe,Maybe,,4,"Educational information,Forums for public discussion",Yes,Yes,"Health and Safety,Local impact",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 05:02:33,2025-03-27 05:06:00,IP Address,77.249.195.45,100,207,True,2025-03-27 05:06:01,R_8gGyeC0X4DVXneM,,,,,52.3746,4.8552,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,6,5,4,3,1,Very little,"Social media,News websites,Word of mouth,Educational platforms",No,6,No,Maybe,Maybe,,1,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",No,No,Global Climate Change,,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 04:57:31,2025-03-27 05:06:14,IP Address,146.50.123.241,100,523,True,2025-03-27 05:06:14,R_2uVzIk1mKwZcK4Z,,,,,52.3882,4.8844,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Education,,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,1,6,4,5,Somewhat,"Social media,News websites,Word of mouth,Educational platforms",No,6,No,Yes,"Yes, definitely","What impacts it has on nature and biodiversity, how much (micro)plastics are in drinking water, what the citisens can do do to help the water quality become better ",10,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-03-27 05:03:52,2025-03-27 05:08:15,IP Address,86.84.77.91,100,263,True,2025-03-27 05:08:15,R_8how0aytka9GN2t,,,,,52.36,4.8084,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,4,5,6,3,Very little,"Word of mouth,Educational platforms",No,7,Yes,Yes,"Yes, definitely",,6,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Maybe,"Health and Safety,Local impact",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 05:04:02,2025-03-27 05:09:30,IP Address,144.178.95.153,100,328,True,2025-03-27 05:09:32,R_2B4zFhD091c43Pq,,,,,52.3471,4.8508,anonymous,EN,0.699999988079071,,Yes,18 - 24,United States of America,Bachelor’s degree,Urban,Student,,Neutral,"Yes, very serious","Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",2,5,4,1,6,3,Very little,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",No,9,No,Maybe,Maybe,,8,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Maybe,"Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 05:11:05,2025-03-27 05:14:11,IP Address,86.84.77.91,100,186,True,2025-03-27 05:14:12,R_2M6miOqqeVSSi9b,,,,,52.36,4.8084,anonymous,EN,1,,Yes,18 - 24,Switzerland,Bachelor’s degree,Rural,Student,,Somewhat knowledgeable,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,It can lead to waterborne disease such as cholera and dysentery.,1,3,4,6,2,5,Somewhat,"News websites,Educational platforms",Yes,5,Yes,Maybe,Maybe,,7,"Forums for public discussion,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Yes,"Concern for future generations,Local impact",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 05:39:06,2025-03-27 05:46:45,IP Address,86.84.77.91,100,459,True,2025-03-27 05:46:46,R_84vLKufK7rDfbMA,,,,,52.36,4.8084,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Neutral,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",1,6,3,4,5,2,Very little,"Social media,News websites,Educational platforms",No,7,Yes,Yes,"Yes, definitely",,7,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 05:51:47,2025-03-27 05:55:48,IP Address,178.85.171.160,100,241,True,2025-03-27 05:55:49,R_8mn6jE7i90RVBSP,,,,,52.3528,4.8584,anonymous,EN,0.8999999761581421,,Yes,35 - 44,Netherlands,Bachelor’s degree,Urban,Finance and Commerce,,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,1,4,6,3,Not at all,Social media,No,2,No,Maybe,Maybe,,3,"Interactive maps,Personalized content (AI-agent)",No,No,"Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 05:58:56,2025-03-27 06:03:35,IP Address,131.111.185.7,100,278,True,2025-03-27 06:03:35,R_2uq75zdf2NyLypq,,,,,52.1929,0.1256,anonymous,EN,0.8999999761581421,,Yes,25 - 34,United Kingdom of Great Britain and Northern Ireland,Master’s degree or higher,Suburban,Student,,Not very knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,5,6,4,2,3,Not at all,I don’t usually seek out this information,No,3,No,No,"No, not interested",,1,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,Health and Safety,,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 05:58:19,2025-03-27 06:04:13,IP Address,86.88.58.35,100,354,True,2025-03-27 06:04:13,R_2ORQuRwpmxapXVv,,,,,52.3746,4.8552,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,It can disrupt aquatic ecosystems and harm marine life.,2,4,3,5,6,1,Somewhat,"Social media,News websites,Educational platforms",No,2,Yes,Maybe,Maybe,,3,"Educational information,Personalized content (AI-agent),Resources on initiatives you can implement yourself",Maybe,Maybe,"Health and Safety,Local impact",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 05:56:00,2025-03-27 06:04:21,IP Address,104.28.30.74,100,501,True,2025-03-27 06:04:22,R_8CyIvLA3fEEtXXG,,,,,52.3548,4.9065,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Education,,Not very knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,4,5,1,6,Very little,"Social media,Word of mouth",No,1,No,Maybe,Maybe,How to improve it,6,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
