Finished,Q_RecaptchaScore,Participate,Age,Country of Residence,Level of Education,Living Area,Occupation,General Awareness,Seriousness of City Water Quality,Awareness of city Management,Ppl with no Drinking Water 2023,Causes of Poor Water Quality,Agriculture,Global Warming,Industrial Waste,Marine Dumping of Garbage,Oil Leaks and Spills,Sewage and Wastewater,Attention given to Water on the News,Source of Awareness,Know of Urban Aquatic Ecosystem,Interest in Water Quality Management,Participated in Water Conservation Actitivites,Interest in Learning More,Interest in Learning more about City,What would you want to learn about,Likelihood in using digital platform,Features of Platform,Interested in Contributing to Platform,Interest in joining Community,Motivations to engage with environmental causes,Unanswered Percentage
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Rural,Student,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,3.0,4.0,6.0,2.0,5.0,Somewhat,"Social media,News websites,Word of mouth",Yes,61.0,Yes,Maybe,"Yes, definitely",,6.0,"Educational information,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,Local impact,0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Italy,Master’s degree or higher,Suburban,Tourism and Hospitality,Neutral,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,1.0,5.0,6.0,4.0,Somewhat,"Social media,TV/radio",No,5.0,No,Maybe,Maybe,,4.0,"Educational information,Forums for public discussion",Yes,Yes,"Health and Safety,Local impact",0.0769230769230769
True,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,6.0,5.0,4.0,3.0,1.0,Very little,"Social media,News websites,Word of mouth,Educational platforms",No,6.0,No,Maybe,Maybe,,1.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",No,No,Global Climate Change,0.0769230769230769
True,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Education,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,1.0,6.0,4.0,5.0,Somewhat,"Social media,News websites,Word of mouth,Educational platforms",No,6.0,No,Yes,"Yes, definitely","What impacts it has on nature and biodiversity, how much (micro)plastics are in drinking water, what the citisens can do do to help the water quality become better ",10.0,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,4.0,5.0,6.0,3.0,Very little,"Word of mouth,Educational platforms",No,7.0,Yes,Yes,"Yes, definitely",,6.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Maybe,"Health and Safety,Local impact",0.0769230769230769
True,0.699999988079071,Yes,18 - 24,United States of America,Bachelor’s degree,Urban,Student,Neutral,"Yes, very serious","Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",2.0,5.0,4.0,1.0,6.0,3.0,Very little,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",No,9.0,No,Maybe,Maybe,,8.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Maybe,"Health and Safety,Local impact,Global Climate Change",0.0769230769230769
True,1.0,Yes,18 - 24,Switzerland,Bachelor’s degree,Rural,Student,Somewhat knowledgeable,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,It can lead to waterborne disease such as cholera and dysentery.,1.0,3.0,4.0,6.0,2.0,5.0,Somewhat,"News websites,Educational platforms",Yes,5.0,Yes,Maybe,Maybe,,7.0,"Forums for public discussion,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Yes,"Concern for future generations,Local impact",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Neutral,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",1.0,6.0,3.0,4.0,5.0,2.0,Very little,"Social media,News websites,Educational platforms",No,7.0,Yes,Yes,"Yes, definitely",,7.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,35 - 44,Netherlands,Bachelor’s degree,Urban,Finance and Commerce,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,1.0,4.0,6.0,3.0,Not at all,Social media,No,2.0,No,Maybe,Maybe,,3.0,"Interactive maps,Personalized content (AI-agent)",No,No,"Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,25 - 34,United Kingdom of Great Britain and Northern Ireland,Master’s degree or higher,Suburban,Student,Not very knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,5.0,6.0,4.0,2.0,3.0,Not at all,I don’t usually seek out this information,No,3.0,No,No,"No, not interested",,1.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,Health and Safety,0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,It can disrupt aquatic ecosystems and harm marine life.,2.0,4.0,3.0,5.0,6.0,1.0,Somewhat,"Social media,News websites,Educational platforms",No,2.0,Yes,Maybe,Maybe,,3.0,"Educational information,Personalized content (AI-agent),Resources on initiatives you can implement yourself",Maybe,Maybe,"Health and Safety,Local impact",0.0769230769230769
